date,FCTR_2022_Z,meta
2022-11-24 15:00:00,61.17541893025771,
2022-11-24 15:30:30,61.17541893025771,
2022-11-24 23:59:59,61.17541893025771,c
2022-11-25 00:00:00,78.02102684800754,
2022-11-25 10:00:00,94.64358010255776,
2022-11-25 10:30:00,93.1573783042768,
2022-11-25 12:00:00,97.04939774874853,
2022-11-25 13:30:00,97.04939774874853,
2022-11-25 15:00:00,97.04939774874853,
2022-11-25 15:30:30,97.04939774874853,
2022-11-25 23:59:59,99.79578992742823,w
2022-11-28 00:00:00,119.76276713182929,
2022-11-28 10:00:00,110.06001722578984,
2022-11-28 10:30:00,124.04109990221315,
2022-11-28 12:00:00,105.12901330930138,
2022-11-28 13:30:00,109.69875044073004,
2022-11-28 15:00:00,119.29719049520048,
2022-11-28 15:30:30,119.29719049520048,
2022-11-28 23:59:59,129.6472661418481,c
2022-11-29 00:00:00,101.68396868334021,
2022-11-29 10:00:00,119.64271371772102,
2022-11-29 10:30:00,116.30565756210855,
2022-11-29 12:00:00,125.93327238184398,
2022-11-29 13:30:00,149.459610167812,
2022-11-29 15:00:00,142.90852538385298,
2022-11-29 15:30:30,142.90852538385298,
2022-11-29 23:59:59,147.72422280262333,c
2022-11-30 00:00:00,143.8669617073163,
2022-11-30 10:00:00,124.04324379828822,
2022-11-30 10:30:00,117.6416862028971,
2022-11-30 12:00:00,150.5011970985606,
2022-11-30 13:30:00,148.01981270796765,
2022-11-30 15:00:00,106.60746321588742,
2022-11-30 15:30:30,106.60746321588742,s
2022-11-30 23:59:59,94.3224583164681,c
2022-12-01 00:00:00,65.30967487558283,
2022-12-01 10:00:00,10.013222906054452,
2022-12-01 10:30:00,37.283845693156636,
2022-12-01 12:00:00,22.576768245781153,
2022-12-01 13:30:00,3.808143756043961,
2022-12-01 15:00:00,4.619483351268187,
2022-12-01 15:30:30,4.619483351268187,
2022-12-01 23:59:59,0.0,a
2022-12-02 00:00:00,53.136558220705744,
2022-12-02 10:00:00,58.095910998798146,
2022-12-02 10:30:00,47.964596512137256,
2022-12-02 12:00:00,46.50227466285199,
2022-12-02 13:30:00,50.75462500351537,
2022-12-02 15:00:00,42.2140710061051,
2022-12-02 15:30:30,42.2140710061051,
2022-12-02 23:59:59,48.532346318091385,w
0,48.532346318091385,
0,48.532346318091385,
0,48.532346318091385,
0,48.532346318091385,
0,48.532346318091385,
0,48.532346318091385,
0,48.532346318091385,
0,48.532346318091385,
2022-12-05 00:00:00,34.04236606170632,
2022-12-05 10:00:00,76.4277287949308,
2022-12-05 10:30:00,80.15302585806097,
2022-12-05 12:00:00,94.30932001478553,
2022-12-05 13:30:00,122.67408153911062,
2022-12-05 15:00:00,143.67001664982308,
2022-12-05 15:30:30,143.67001664982308,
2022-12-05 23:59:59,142.56946885591276,e
2022-12-06 00:00:00,145.15639484114672,
2022-12-06 10:00:00,198.8527597234886,
2022-12-06 10:30:00,201.1043541899624,
2022-12-06 12:00:00,189.13252512426465,
2022-12-06 13:30:00,207.07787937455174,
2022-12-06 15:00:00,203.04442376826916,
2022-12-06 15:30:30,203.04442376826916,
2022-12-06 23:59:59,210.70187638680227,c
2022-12-07 00:00:00,178.97706685492773,
2022-12-07 10:00:00,206.54365234699668,
2022-12-07 10:30:00,216.94415902871953,
2022-12-07 12:00:00,216.80367832912077,
2022-12-07 13:30:00,205.1181836831679,
2022-12-07 15:00:00,207.22998344036733,
2022-12-07 15:30:30,207.22998344036733,
2022-12-07 23:59:59,199.54778905985756,c
2022-12-08 00:00:00,171.55628946402516,
2022-12-08 10:00:00,153.62492679668358,
2022-12-08 10:30:00,150.00772439266473,
2022-12-08 12:00:00,150.09384159239875,
2022-12-08 13:30:00,152.4305211145459,
2022-12-08 15:00:00,154.93742969512888,
2022-12-08 15:30:30,154.93742969512888,
2022-12-08 23:59:59,151.8154531312631,c
2022-12-09 00:00:00,157.5522795384927,
2022-12-09 10:00:00,143.58142315007078,
2022-12-09 10:30:00,151.24916350147225,
2022-12-09 12:00:00,156.48784631819254,
2022-12-09 13:30:00,175.9036715308872,
2022-12-09 15:00:00,167.5372309828657,
2022-12-09 15:30:30,167.5372309828657,
2022-12-09 23:59:59,179.03034566538224,w
2022-12-12 00:00:00,175.00158309299707,
2022-12-12 10:00:00,124.16971494322318,
2022-12-12 10:30:00,109.16458284227191,
