date,EU_MSCI_QUAL_2022_Q2,meta
0,-28.33123111400596,
0,-28.33123111400596,
0,-28.33123111400596,
0,-28.33123111400596,
0,-28.33123111400596,
0,-28.33123111400596,
0,-28.33123111400596,
0,-28.33123111400596,
0,-28.33123111400596,
0,-28.33123111400596,
0,-28.33123111400596,
0,-28.33123111400596,
0,-28.33123111400596,
0,-28.33123111400596,
0,-28.33123111400596,
0,-28.33123111400596,
0,-28.33123111400596,
2022-05-25 00:00:00,-11.842448267615055,
2022-05-25 03:30:00,5.5335814506277075,
2022-05-25 04:00:00,-3.634752225846114,
2022-05-25 06:00:00,-2.4241443041321418,
2022-05-25 08:00:00,-13.708453345354656,
2022-05-25 10:30:00,5.085190103686045,
2022-05-25 11:00:00,12.104750774396507,
2022-05-25 23:59:59,20.96504204423718,c
2022-05-26 00:00:00,25.75711224699171,
2022-05-26 03:30:00,24.59686650628896,
2022-05-26 04:00:00,22.109460743754198,
2022-05-26 06:00:00,15.302650606811085,
2022-05-26 08:00:00,14.958573421494066,
2022-05-26 10:30:00,27.63113130288866,
2022-05-26 11:00:00,22.23895913397132,
2022-05-26 23:59:59,16.25920846285976,c
2022-05-27 00:00:00,32.39932995995923,
2022-05-27 03:30:00,27.916028599761376,
2022-05-27 04:00:00,29.316334150193143,
2022-05-27 06:00:00,15.208881217219414,
2022-05-27 08:00:00,20.713770846258512,
2022-05-27 10:30:00,41.45880217652393,
2022-05-27 11:00:00,31.24506735772775,
2022-05-27 23:59:59,22.227664496429725,w
2022-05-30 00:00:00,11.326703723432047,
2022-05-30 03:30:00,34.49675784479723,
2022-05-30 04:00:00,37.71424230488333,
2022-05-30 06:00:00,23.008653146414417,
2022-05-30 08:00:00,25.479843521063685,
2022-05-30 10:30:00,4.490817864726068,
2022-05-30 11:00:00,1.203747673164571,
2022-05-30 23:59:59,0.025199086631801038,c
2022-05-31 00:00:00,-5.570831505204978,
2022-05-31 03:30:00,3.000558091723633,
2022-05-31 04:00:00,-0.2807419710504746,
2022-05-31 06:00:00,-9.287390134864154,
2022-05-31 08:00:00,-19.533632737170592,
2022-05-31 10:30:00,-24.973967524941145,
2022-05-31 11:00:00,-17.634654675277716,
2022-05-31 23:59:59,-19.02384828963568,e
2022-06-01 00:00:00,-24.322276257522162,
2022-06-01 03:30:00,-10.58912727512461,
2022-06-01 04:00:00,-7.786737699370178,
2022-06-01 06:00:00,-4.548061367714581,
2022-06-01 08:00:00,-0.14311506882222602,
2022-06-01 10:30:00,-15.71903403491001,
2022-06-01 11:00:00,-22.956024708502355,
2022-06-01 23:59:59,-23.61149047219692,c
2022-06-02 00:00:00,-20.928875272748883,
2022-06-02 03:30:00,-30.799173459725807,
2022-06-02 04:00:00,-25.276019227797633,
2022-06-02 06:00:00,-24.923172759785075,
2022-06-02 08:00:00,-17.85480293056844,
2022-06-02 10:30:00,-8.639957873522462,
2022-06-02 11:00:00,-4.148581819094716,
2022-06-02 23:59:59,-8.138163902848873,c
2022-06-03 00:00:00,-8.608131611410045,
2022-06-03 03:30:00,-13.653087344590631,
2022-06-03 04:00:00,-15.551670138129111,
2022-06-03 06:00:00,-7.05084919068986,
2022-06-03 08:00:00,-11.773995197489057,
2022-06-03 10:30:00,-17.031436470771723,
2022-06-03 11:00:00,-17.350053045810455,
2022-06-03 23:59:59,-17.720702706906877,w
2022-06-06 00:00:00,-19.936680308130235,
2022-06-06 03:30:00,-9.125393529052644,
2022-06-06 04:00:00,-13.850566693413384,
2022-06-06 06:00:00,-26.456635309272997,
2022-06-06 08:00:00,-23.952501543020162,
2022-06-06 10:30:00,-17.768860446797362,
2022-06-06 11:00:00,-17.901227917285496,
2022-06-06 23:59:59,-20.471432328757828,c
2022-06-07 00:00:00,-20.125236530525854,
2022-06-07 03:30:00,-21.157832498604876,
2022-06-07 04:00:00,-9.831168032363166,
2022-06-07 06:00:00,-5.087089041444642,
2022-06-07 08:00:00,-30.389233658162766,
2022-06-07 10:30:00,-15.453007098147737,
2022-06-07 11:00:00,-17.053139464388778,
2022-06-07 23:59:59,-15.56159446096126,c
2022-06-08 00:00:00,-3.601034275157872,
2022-06-08 03:30:00,-10.804547162061226,
2022-06-08 04:00:00,-22.818172488635582,
2022-06-08 06:00:00,-24.198326372724978,
2022-06-08 08:00:00,-26.981826177725452,
2022-06-08 10:30:00,-36.38850740885505,
2022-06-08 11:00:00,-31.889963720817832,
2022-06-08 23:59:59,-31.76230558923794,c
2022-06-09 00:00:00,-38.10560481150992,
2022-06-09 03:30:00,-55.95218954322354,
2022-06-09 04:00:00,-62.12954949623395,
2022-06-09 06:00:00,-81.1329383123923,
2022-06-09 08:00:00,-70.96412745952011,
2022-06-09 10:30:00,-80.8755287698184,
2022-06-09 11:00:00,-79.17103198058044,
2022-06-09 23:59:59,-78.59141729369026,c
2022-06-10 00:00:00,-75.59714743980658,
2022-06-10 03:30:00,-106.55243720442672,
2022-06-10 04:00:00,-99.88470190618045,
2022-06-10 06:00:00,-125.41565551256235,
2022-06-10 08:00:00,-118.95938730082457,
2022-06-10 10:30:00,-140.90897722105888,
2022-06-10 11:00:00,-133.00279950345384,
2022-06-10 23:59:59,-122.37166120592292,w
2022-06-13 00:00:00,-140.89942661116697,
2022-06-13 03:30:00,-141.2418618042327,
2022-06-13 04:00:00,-136.43783008589662,
2022-06-13 06:00:00,-144.68087983167788,
2022-06-13 08:00:00,-147.319872514091,
2022-06-13 10:30:00,-159.3834056143819,
2022-06-13 11:00:00,-159.7645532359909,
2022-06-13 23:59:59,-151.84884495532424,c
2022-06-14 00:00:00,-147.40194970060134,
2022-06-14 03:30:00,-164.3249732558545,
2022-06-14 04:00:00,-165.16843618285725,
2022-06-14 06:00:00,-186.83903249698687,
2022-06-14 08:00:00,-176.9812374541541,
2022-06-14 10:30:00,-150.4710297060558,
2022-06-14 11:00:00,-148.74335423319462,
2022-06-14 23:59:59,-127.72949239904733,c
2022-06-15 00:00:00,-137.01328281555652,
2022-06-15 03:30:00,-157.4551188384105,
2022-06-15 04:00:00,-154.09655044483839,
2022-06-15 06:00:00,-116.05388762828852,
2022-06-15 08:00:00,-116.46035427652282,
2022-06-15 10:30:00,-114.53642861366006,
2022-06-15 11:00:00,-106.62165049861255,
2022-06-15 23:59:59,-109.23837246014682,c
2022-06-16 00:00:00,-111.56999245582529,
2022-06-16 03:30:00,-127.16719267737153,
2022-06-16 04:00:00,-139.39228337761256,
2022-06-16 06:00:00,-161.7416611131748,
2022-06-16 08:00:00,-177.9667553864956,
2022-06-16 10:30:00,-191.13175748276763,
2022-06-16 11:00:00,-190.74326941076538,
2022-06-16 23:59:59,-186.8454029289103,c
2022-06-17 00:00:00,-194.31814466758033,
2022-06-17 03:30:00,-174.67827375821958,
2022-06-17 04:00:00,-169.47546044837804,
2022-06-17 06:00:00,-155.23180004352457,
2022-06-17 08:00:00,-153.60728615437893,
2022-06-17 10:30:00,-179.14087807122974,
