date,EU_GUNR_2021_Q4,meta
2021-12-17 23:59:59,111.25887560845172,e
2021-12-20 00:00:00,157.7221424396821,
2021-12-20 03:30:00,164.26571013665307,
2021-12-20 04:00:00,188.2521620496982,
2021-12-20 06:00:00,175.5697923039911,
2021-12-20 08:00:00,171.63989509269732,
2021-12-20 10:30:00,161.50076959783246,
2021-12-20 11:00:00,168.67712093766613,
2021-12-20 23:59:59,164.76863286452203,c
2021-12-21 00:00:00,167.47751451076215,
2021-12-21 03:30:00,174.09719058711153,
2021-12-21 04:00:00,146.71285073650643,
2021-12-21 06:00:00,154.51833067763755,
2021-12-21 08:00:00,145.53193724211087,
2021-12-21 10:30:00,138.60148594674456,
2021-12-21 11:00:00,133.01578735663156,
2021-12-21 23:59:59,124.55259175277956,c
2021-12-22 00:00:00,102.17481587509974,
2021-12-22 03:30:00,92.52973012118719,
2021-12-22 04:00:00,91.2761678748036,
2021-12-22 06:00:00,49.71416587613385,
2021-12-22 08:00:00,73.04256420717138,
2021-12-22 10:30:00,64.4872743217959,
2021-12-22 11:00:00,51.77199693462467,
2021-12-22 23:59:59,68.05105005167457,c
2021-12-23 00:00:00,47.94337745775624,
2021-12-23 03:30:00,48.55739977588155,
2021-12-23 04:00:00,38.92530549182425,
2021-12-23 06:00:00,25.283629756067967,
2021-12-23 08:00:00,23.01454799165799,
2021-12-23 10:30:00,13.742628866374162,
2021-12-23 11:00:00,17.540478217237705,
2021-12-23 23:59:59,14.666928299069468,c
2021-12-24 00:00:00,21.997088892558622,
2021-12-24 03:30:00,23.658639802078824,
2021-12-24 04:00:00,18.034407394292884,
2021-12-24 06:00:00,24.12275880956099,
2021-12-24 08:00:00,24.12275880956099,
2021-12-24 10:30:00,24.12275880956099,
2021-12-24 11:00:00,24.12275880956099,
2021-12-24 23:59:59,36.86049389324171,w
2021-12-27 00:00:00,42.23292384579281,
2021-12-27 03:30:00,58.088296000812306,
2021-12-27 04:00:00,72.62882635119195,
2021-12-27 06:00:00,58.03405014465352,
2021-12-27 08:00:00,67.29655563576944,
2021-12-27 10:30:00,48.179551536698,
2021-12-27 11:00:00,44.68119188569335,
2021-12-27 23:59:59,46.83709815179077,c
2021-12-28 00:00:00,39.188831515113634,
2021-12-28 03:30:00,32.252009143053556,
2021-12-28 04:00:00,44.23907140851088,
2021-12-28 06:00:00,30.19736709153949,
2021-12-28 08:00:00,17.225902679356977,
2021-12-28 10:30:00,24.984845237440595,
2021-12-28 11:00:00,33.33868177000318,
2021-12-28 23:59:59,25.665423571367683,c
2021-12-29 00:00:00,26.52996883480273,
2021-12-29 03:30:00,-9.506010049932229,
2021-12-29 04:00:00,5.9550425839804575,
2021-12-29 06:00:00,26.25059102902219,
2021-12-29 08:00:00,48.718588152748225,
2021-12-29 10:30:00,46.468527527601964,
2021-12-29 11:00:00,43.322772604015654,
2021-12-29 23:59:59,56.7400161207961,c
2021-12-30 00:00:00,49.57531053312027,
2021-12-30 03:30:00,71.92500951875036,
2021-12-30 04:00:00,70.95782127473353,
2021-12-30 06:00:00,76.50491205062394,
2021-12-30 08:00:00,63.334643830025925,
2021-12-30 10:30:00,80.26421737978626,
2021-12-30 11:00:00,78.28809175358015,
2021-12-30 23:59:59,79.70631007369911,c
2021-12-31 00:00:00,86.4557417551182,
2021-12-31 03:30:00,78.26980881719282,
2021-12-31 04:00:00,79.34975923790876,
2021-12-31 06:00:00,76.65227082363504,
2021-12-31 08:00:00,76.65227082363504,
2021-12-31 10:30:00,76.65227082363504,
2021-12-31 11:00:00,76.65227082363504,
2021-12-31 23:59:59,87.33721581152463,w
