date,AS_HSCEI_2021_Q4,meta
2021-11-19 20:00:00,0.00426468255494683,
2021-11-19 23:00:00,0.00426468255494683,
2021-11-19 23:59:59,0.0,a
2021-11-22 00:00:00,-2.2868634736040576,
2021-11-22 01:00:00,-24.087759295284002,
2021-11-22 02:30:00,-82.18508305838066,
2021-11-22 03:00:00,-86.819158794006,
2021-11-22 18:30:00,-86.819158794006,
2021-11-22 20:00:00,-86.819158794006,
2021-11-22 23:00:00,-114.61242726288651,
2021-11-22 23:59:59,-114.67552146052071,c
2021-11-23 00:00:00,-153.5382716032214,
2021-11-23 01:00:00,-139.82626840672913,
2021-11-23 02:30:00,-123.37592783856593,
2021-11-23 03:00:00,-135.82369221457031,
2021-11-23 18:30:00,-135.82369221457031,
2021-11-23 20:00:00,-135.82369221457031,
2021-11-23 23:00:00,-112.78695009968663,
