date,AS_FTSE_EM_STAY_2022_Q1,meta
2022-01-28 18:30:00,-94.6646913467912,
2022-01-28 20:00:00,-94.6646913467912,
2022-01-28 23:00:00,-94.6646913467912,
2022-01-28 23:59:59,-93.76655664371523,w
2022-01-31 00:00:00,-79.90661755039473,
2022-01-31 01:00:00,-79.90661755039473,
2022-01-31 02:30:00,-79.90661755039473,
2022-01-31 03:00:00,-79.90661755039473,
2022-01-31 18:30:00,-79.90661755039473,
2022-01-31 20:00:00,-79.90661755039473,
2022-01-31 23:00:00,-79.90661755039473,
2022-01-31 23:59:59,-79.18173730749439,c
2022-02-01 00:00:00,-79.18173730749439,
2022-02-01 01:00:00,-79.18173730749439,
2022-02-01 02:30:00,-79.18173730749439,
2022-02-01 03:00:00,-79.18173730749439,
2022-02-01 18:30:00,-79.18173730749439,
2022-02-01 20:00:00,-79.18173730749439,
2022-02-01 23:00:00,-79.18173730749439,
2022-02-01 23:59:59,-79.18173730749439,c
2022-02-02 00:00:00,-79.18173730749439,
2022-02-02 01:00:00,-79.18173730749439,
2022-02-02 02:30:00,-79.18173730749439,
2022-02-02 03:00:00,-79.18173730749439,
2022-02-02 18:30:00,-79.18173730749439,
2022-02-02 20:00:00,-79.18173730749439,
2022-02-02 23:00:00,-79.18173730749439,
2022-02-02 23:59:59,-79.18173730749439,c
2022-02-03 00:00:00,-79.18173730749439,
2022-02-03 01:00:00,-79.18173730749439,
2022-02-03 02:30:00,-79.18173730749439,
2022-02-03 03:00:00,-79.18173730749439,
2022-02-03 18:30:00,-79.18173730749439,
2022-02-03 20:00:00,-79.18173730749439,
2022-02-03 23:00:00,-34.3601419429944,
2022-02-03 23:59:59,-34.3601419429944,c
2022-02-04 00:00:00,-23.040456182608807,
2022-02-04 01:00:00,-5.180386252105478,
2022-02-04 02:30:00,-5.512359664202606,
2022-02-04 03:00:00,-6.790354604023534,
2022-02-04 18:30:00,-6.790354604023534,
2022-02-04 20:00:00,-6.790354604023534,
2022-02-04 23:00:00,-6.790354604023534,
2022-02-04 23:59:59,-7.584104148250063,w
2022-02-07 00:00:00,6.987378524718579,
2022-02-07 01:00:00,-7.093078591073265,
2022-02-07 02:30:00,8.182678858247002,
2022-02-07 03:00:00,7.683740591379106,
2022-02-07 18:30:00,7.683740591379106,
2022-02-07 20:00:00,7.683740591379106,
2022-02-07 23:00:00,-56.72756697162668,
2022-02-07 23:59:59,-56.77530423051468,c
2022-02-08 00:00:00,-38.79016480199057,
2022-02-08 01:00:00,-10.758993825465495,
2022-02-08 02:30:00,9.06053032956369,
2022-02-08 03:00:00,0.7636348890442832,
2022-02-08 18:30:00,0.7636348890442832,
2022-02-08 20:00:00,0.7636348890442832,
2022-02-08 23:00:00,10.293170402467112,
2022-02-08 23:59:59,7.417451572758523,c
2022-02-09 00:00:00,11.226517150281069,
2022-02-09 01:00:00,3.3455376072370626,
2022-02-09 02:30:00,-9.14045758306628,
2022-02-09 03:00:00,-10.1074708577205,
2022-02-09 18:30:00,-10.1074708577205,
2022-02-09 20:00:00,-10.1074708577205,
2022-02-09 23:00:00,-38.20054482458116,
2022-02-09 23:59:59,-40.242191144790624,c
2022-02-10 00:00:00,-43.512336020345145,
2022-02-10 01:00:00,-49.43617127244663,
2022-02-10 02:30:00,-15.028174690524253,
2022-02-10 03:00:00,-2.7925915315901477,
2022-02-10 18:30:00,-2.7925915315901477,
2022-02-10 20:00:00,-2.7925915315901477,
2022-02-10 23:00:00,25.82908032040089,
2022-02-10 23:59:59,28.820783461746316,c
2022-02-11 00:00:00,26.407864790800005,
2022-02-11 01:00:00,-45.47787250088241,
2022-02-11 02:30:00,-37.19511963511539,
2022-02-11 03:00:00,-41.144659960805285,
2022-02-11 18:30:00,-41.144659960805285,
2022-02-11 20:00:00,-41.144659960805285,
2022-02-11 23:00:00,-41.144659960805285,
2022-02-11 23:59:59,-40.15470174799256,w
2022-02-14 00:00:00,-10.736925711648183,
2022-02-14 01:00:00,-34.136723526248105,
2022-02-14 02:30:00,-34.19773677997418,
2022-02-14 03:00:00,-25.53956573165891,
2022-02-14 18:30:00,-25.53956573165891,
2022-02-14 20:00:00,-25.53956573165891,
2022-02-14 23:00:00,40.20055650367769,
2022-02-14 23:59:59,48.40957355368178,c
2022-02-15 00:00:00,35.26939035521005,
2022-02-15 01:00:00,37.783764245755066,
2022-02-15 02:30:00,50.693695378919045,
2022-02-15 03:00:00,38.348584515857596,
2022-02-15 18:30:00,38.348584515857596,
2022-02-15 20:00:00,38.348584515857596,
2022-02-15 23:00:00,39.35399915353497,
2022-02-15 23:59:59,49.35682189828185,c
2022-02-16 00:00:00,61.21698559839621,
2022-02-16 01:00:00,42.73246663748603,
2022-02-16 02:30:00,55.495065237378554,
2022-02-16 03:00:00,62.17559353086605,
2022-02-16 18:30:00,62.17559353086605,
2022-02-16 20:00:00,62.17559353086605,
2022-02-16 23:00:00,52.07273338336785,
2022-02-16 23:59:59,61.536556332971315,c
2022-02-17 00:00:00,56.12298052559791,
2022-02-17 01:00:00,67.130664681674,
2022-02-17 02:30:00,73.49989417048869,
2022-02-17 03:00:00,73.02507444739257,
2022-02-17 18:30:00,73.02507444739257,
2022-02-17 20:00:00,73.02507444739257,
2022-02-17 23:00:00,93.59887113449415,
2022-02-17 23:59:59,88.80655736414332,c
2022-02-18 00:00:00,40.67529444436565,
2022-02-18 01:00:00,27.27742338323165,
2022-02-18 02:30:00,-6.457452328977681,
2022-02-18 03:00:00,1.2430278617020036,
2022-02-18 18:30:00,1.2430278617020036,
2022-02-18 20:00:00,1.2430278617020036,
2022-02-18 23:00:00,1.2430278617020036,
2022-02-18 23:59:59,0.0,a
2022-02-21 00:00:00,69.49926429264792,
2022-02-21 01:00:00,67.69170279585936,
2022-02-21 02:30:00,91.5361864932884,
2022-02-21 03:00:00,119.28063064743537,
2022-02-21 18:30:00,119.28063064743537,
2022-02-21 20:00:00,119.28063064743537,
