date,LOCK_2021_Q2,meta
2021-06-11 15:00:00,196.62728229932247,
2021-06-11 15:30:30,196.62728229932247,
2021-06-11 23:59:59,198.26926461220296,w
2021-06-14 00:00:00,211.3177459373187,
2021-06-14 10:00:00,234.6126126881377,
2021-06-14 10:30:00,222.9651158410038,
2021-06-14 12:00:00,256.9006685564034,
2021-06-14 13:30:00,267.13529792814984,
2021-06-14 15:00:00,259.4020255380856,
2021-06-14 15:30:30,259.4020255380856,
2021-06-14 23:59:59,255.334746047791,c
2021-06-15 00:00:00,234.47157632869357,
2021-06-15 10:00:00,224.53357579567682,
2021-06-15 10:30:00,195.2189795904868,
2021-06-15 12:00:00,209.05196547900482,
2021-06-15 13:30:00,197.38568978321825,
2021-06-15 15:00:00,184.27070938180452,
2021-06-15 15:30:30,184.27070938180452,
2021-06-15 23:59:59,177.58938167566657,c
2021-06-16 00:00:00,180.1988763091964,
2021-06-16 10:00:00,238.34581082579507,
2021-06-16 10:30:00,244.42264614354008,
2021-06-16 12:00:00,231.00803264746662,
2021-06-16 13:30:00,238.40593464761355,
2021-06-16 15:00:00,215.48931451473936,
2021-06-16 15:30:30,215.48931451473936,
2021-06-16 23:59:59,236.6209135539334,c
2021-06-17 00:00:00,212.98941679953543,
2021-06-17 10:00:00,296.09156710850766,
2021-06-17 10:30:00,315.37381067548995,
2021-06-17 12:00:00,338.11814517757284,
2021-06-17 13:30:00,371.111002138653,
2021-06-17 15:00:00,396.5864324445647,
2021-06-17 15:30:30,396.5864324445647,
2021-06-17 23:59:59,391.5926548666662,c
2021-06-18 00:00:00,415.69720414036124,
2021-06-18 10:00:00,407.1298389452684,
2021-06-18 10:30:00,410.67527465345984,
2021-06-18 12:00:00,423.78733374916305,
2021-06-18 13:30:00,453.78862828524257,
2021-06-18 15:00:00,414.08190230672335,
2021-06-18 15:30:30,414.08190230672335,
2021-06-18 23:59:59,441.8417005184924,e
2021-06-21 00:00:00,405.9907628430092,
2021-06-21 10:00:00,357.1983586632198,
2021-06-21 10:30:00,328.0623125687787,
2021-06-21 12:00:00,338.128944799347,
2021-06-21 13:30:00,354.9275553851746,
2021-06-21 15:00:00,346.0767961293634,
2021-06-21 15:30:30,346.0767961293634,
2021-06-21 23:59:59,349.6239694809119,c
2021-06-22 00:00:00,369.98495255030844,
2021-06-22 10:00:00,405.97734141258206,
2021-06-22 10:30:00,411.4542287886327,
2021-06-22 12:00:00,417.9319272575972,
2021-06-22 13:30:00,421.28412499821684,
2021-06-22 15:00:00,417.42534266333155,
2021-06-22 15:30:30,417.42534266333155,
2021-06-22 23:59:59,444.4261648805207,c
2021-06-23 00:00:00,442.5656489563198,
2021-06-23 10:00:00,469.0537367693298,
2021-06-23 10:30:00,457.32196723070115,
2021-06-23 12:00:00,439.1160339632113,
2021-06-23 13:30:00,451.5856388967841,
2021-06-23 15:00:00,454.42995832361635,
2021-06-23 15:30:30,454.42995832361635,
2021-06-23 23:59:59,458.4929132177774,c
2021-06-24 00:00:00,467.0437012298937,
2021-06-24 10:00:00,474.6710979568536,
2021-06-24 10:30:00,486.4703695135206,
2021-06-24 12:00:00,490.88041914986707,
2021-06-24 13:30:00,466.069900384789,
2021-06-24 15:00:00,453.19433477008533,
2021-06-24 15:30:30,453.19433477008533,
2021-06-24 23:59:59,463.0704206015082,c
2021-06-25 00:00:00,474.1192838533889,
2021-06-25 10:00:00,455.3403346919397,
2021-06-25 10:30:00,447.2204595568262,
2021-06-25 12:00:00,469.22572742807847,
2021-06-25 13:30:00,467.51051346719305,
2021-06-25 15:00:00,472.9908783501926,
2021-06-25 15:30:30,472.9908783501926,
2021-06-25 23:59:59,452.71605897253926,w
2021-06-28 00:00:00,463.48552574547375,
2021-06-28 10:00:00,464.4076597620624,
2021-06-28 10:30:00,476.11457246978057,
2021-06-28 12:00:00,483.66968138479274,
2021-06-28 13:30:00,468.6546488642016,
2021-06-28 15:00:00,463.19045920534654,
2021-06-28 15:30:30,463.19045920534654,
2021-06-28 23:59:59,465.5938402060931,c
2021-06-29 00:00:00,457.48873539529745,
2021-06-29 10:00:00,470.51969037458207,
2021-06-29 10:30:00,466.27636873281745,
2021-06-29 12:00:00,455.0999683131438,
2021-06-29 13:30:00,457.3316777165719,
2021-06-29 15:00:00,455.95570789599014,
2021-06-29 15:30:30,455.95570789599014,
2021-06-29 23:59:59,467.11921718981216,c
2021-06-30 00:00:00,473.48290206036677,
2021-06-30 10:00:00,453.1718299450131,
2021-06-30 10:30:00,434.01421874021844,
2021-06-30 12:00:00,439.8741081277217,
2021-06-30 13:30:00,423.27543964558595,
2021-06-30 15:00:00,422.0531536152532,
2021-06-30 15:30:30,422.0531536152532,
2021-06-30 23:59:59,401.96246150092384,c
2021-07-01 00:00:00,391.9517750820819,
2021-07-01 10:00:00,382.9852013886043,
2021-07-01 10:30:00,396.6274646944396,
2021-07-01 12:00:00,360.3850589743008,
2021-07-01 13:30:00,345.4403615973745,
2021-07-01 15:00:00,338.87082058305145,
2021-07-01 15:30:30,338.87082058305145,
2021-07-01 23:59:59,345.04212027859603,c
2021-07-02 00:00:00,366.2079752347038,
2021-07-02 10:00:00,360.2662512262432,
2021-07-02 10:30:00,360.5093910010289,
2021-07-02 12:00:00,352.13557047695167,
2021-07-02 13:30:00,348.9219808264902,
2021-07-02 15:00:00,347.4334217836015,
2021-07-02 15:30:30,347.4334217836015,
2021-07-02 23:59:59,348.9446979508093,w
