date,NDX_2021_Q3,meta
2021-09-10 23:59:59,0.0,a
2021-09-13 00:00:00,-24.310458664942416,
2021-09-13 10:00:00,-41.77980962427682,
2021-09-13 10:30:00,-47.40855128922749,
2021-09-13 12:00:00,-22.52410749308956,
2021-09-13 13:30:00,-8.804922492683545,
2021-09-13 15:00:00,12.201739734196508,
2021-09-13 15:30:30,12.201739734196508,
2021-09-13 23:59:59,21.752953434225674,c
2021-09-14 00:00:00,2.163071379207395,
2021-09-14 10:00:00,67.25295951271664,
2021-09-14 10:30:00,59.0773081448358,
2021-09-14 12:00:00,50.06130280078651,
2021-09-14 13:30:00,51.461718711636195,
2021-09-14 15:00:00,62.16637569825093,
2021-09-14 15:30:30,62.16637569825093,
2021-09-14 23:59:59,80.7199473063315,c
2021-09-15 00:00:00,74.41384757426886,
2021-09-15 10:00:00,59.133060276933975,
2021-09-15 10:30:00,83.31605136949452,
2021-09-15 12:00:00,88.95484440823202,
2021-09-15 13:30:00,69.46194721321444,
2021-09-15 15:00:00,57.30749334502116,
2021-09-15 15:30:30,57.30749334502116,
2021-09-15 23:59:59,67.5889137500626,c
2021-09-16 00:00:00,73.31884043108494,
2021-09-16 10:00:00,85.68115529756938,
2021-09-16 10:30:00,85.81477066416255,
2021-09-16 12:00:00,80.63837379114875,
2021-09-16 13:30:00,71.04103462572334,
2021-09-16 15:00:00,69.47110712443987,
2021-09-16 15:30:30,69.47110712443987,
2021-09-16 23:59:59,61.95130091914007,c
2021-09-17 00:00:00,64.33789066329473,
2021-09-17 10:00:00,90.08455955673139,
2021-09-17 10:30:00,94.0442447875389,
2021-09-17 12:00:00,101.45177985102055,
2021-09-17 13:30:00,119.19036118399663,
2021-09-17 15:00:00,123.24966341206664,
2021-09-17 15:30:30,123.24966341206664,
2021-09-17 23:59:59,125.77708168186359,e
2021-09-20 00:00:00,134.57462944541726,
2021-09-20 10:00:00,136.34305902975302,
2021-09-20 10:30:00,151.88762136655396,
2021-09-20 12:00:00,156.98635666021346,
2021-09-20 13:30:00,164.05670658305553,
2021-09-20 15:00:00,158.6929687850627,
2021-09-20 15:30:30,158.6929687850627,
2021-09-20 23:59:59,142.4931053366231,c
2021-09-21 00:00:00,135.90308710033264,
2021-09-21 10:00:00,121.85823587705545,
2021-09-21 10:30:00,154.39714173942798,
2021-09-21 12:00:00,158.17009905048326,
2021-09-21 13:30:00,168.04096195634133,
2021-09-21 15:00:00,158.36748490551122,
2021-09-21 15:30:30,158.36748490551122,
2021-09-21 23:59:59,167.40490504644572,c
2021-09-22 00:00:00,184.71190475980643,
2021-09-22 10:00:00,170.5736456378345,
2021-09-22 10:30:00,163.86629890569657,
2021-09-22 12:00:00,159.4502242991598,
2021-09-22 13:30:00,169.52400520758988,
2021-09-22 15:00:00,173.70178334927004,
2021-09-22 15:30:30,173.70178334927004,
2021-09-22 23:59:59,182.95570047353726,c
2021-09-23 00:00:00,175.15404032754168,
2021-09-23 10:00:00,170.34965108139454,
2021-09-23 10:30:00,162.6238777300464,
2021-09-23 12:00:00,162.6696980669974,
2021-09-23 13:30:00,175.16415145339965,
2021-09-23 15:00:00,183.52365954705147,
2021-09-23 15:30:30,183.52365954705147,
2021-09-23 23:59:59,187.32224773944472,c
2021-09-24 00:00:00,192.42510530290406,
2021-09-24 10:00:00,200.26686825638672,
2021-09-24 10:30:00,215.76431393709572,
2021-09-24 12:00:00,222.95853051862377,
2021-09-24 13:30:00,225.96877902435017,
2021-09-24 15:00:00,222.3608363644055,
2021-09-24 15:30:30,222.3608363644055,
2021-09-24 23:59:59,237.30449209509743,w
2021-09-27 00:00:00,261.9369896646283,
2021-09-27 10:00:00,273.0984406378702,
2021-09-27 10:30:00,251.7918068041422,
2021-09-27 12:00:00,294.9540354706942,
2021-09-27 13:30:00,281.9738400152762,
2021-09-27 15:00:00,297.9529403325714,
2021-09-27 15:30:30,297.9529403325714,
2021-09-27 23:59:59,288.5106356398328,c
2021-09-28 00:00:00,307.0794020559804,
2021-09-28 10:00:00,309.66517585518955,
2021-09-28 10:30:00,326.9214752622222,
2021-09-28 12:00:00,350.8368422132221,
2021-09-28 13:30:00,349.4310305713957,
2021-09-28 15:00:00,341.84226656529813,
2021-09-28 15:30:30,341.84226656529813,
2021-09-28 23:59:59,347.8186067063534,c
2021-09-29 00:00:00,323.86352151563415,
2021-09-29 10:00:00,333.24435302371444,
2021-09-29 10:30:00,327.91172254363323,
2021-09-29 12:00:00,315.1306255591767,
2021-09-29 13:30:00,312.2783562505822,
2021-09-29 15:00:00,323.1902470013549,
2021-09-29 15:30:30,323.1902470013549,
2021-09-29 23:59:59,337.1684378556695,c
2021-09-30 00:00:00,330.2832027374943,
2021-09-30 10:00:00,326.9399129930505,
2021-09-30 10:30:00,335.91384098544836,
2021-09-30 12:00:00,348.72048971411596,
2021-09-30 13:30:00,358.6418589061052,
2021-09-30 15:00:00,335.13544507618417,
2021-09-30 15:30:30,335.13544507618417,
2021-09-30 23:59:59,346.5189109824364,c
2021-10-01 00:00:00,331.8691898270547,
2021-10-01 10:00:00,309.3041008330115,
2021-10-01 10:30:00,316.95373834102793,
2021-10-01 12:00:00,317.7005870753476,
2021-10-01 13:30:00,296.2563757403668,
2021-10-01 15:00:00,278.2743029124515,
2021-10-01 15:30:30,278.2743029124515,
2021-10-01 23:59:59,274.86964870373276,w
2021-10-04 00:00:00,337.6304549403185,
2021-10-04 10:00:00,385.20434349779066,
2021-10-04 10:30:00,386.71235839513884,
2021-10-04 12:00:00,385.6004997061898,
2021-10-04 13:30:00,380.67016079368113,
2021-10-04 15:00:00,363.97779952784686,
2021-10-04 15:30:30,363.97779952784686,
2021-10-04 23:59:59,351.3653280705305,c
2021-10-05 00:00:00,349.06846022581226,
2021-10-05 10:00:00,344.1125691916602,
2021-10-05 10:30:00,323.01998138614545,
2021-10-05 12:00:00,282.5080965924319,
2021-10-05 13:30:00,266.9565477981746,
2021-10-05 15:00:00,275.3534722795432,
2021-10-05 15:30:30,275.3534722795432,
2021-10-05 23:59:59,280.4026516786739,c
2021-10-06 00:00:00,302.94213659790694,
2021-10-06 10:00:00,305.1071265461949,
2021-10-06 10:30:00,292.95189853855004,
2021-10-06 12:00:00,297.44021062240495,
2021-10-06 13:30:00,287.54719149348307,
2021-10-06 15:00:00,276.45185386303524,
2021-10-06 15:30:30,276.45185386303524,
2021-10-06 23:59:59,263.8819694871879,c
2021-10-07 00:00:00,231.55703648530402,
2021-10-07 10:00:00,226.5050061133129,
2021-10-07 10:30:00,223.9628374310771,
2021-10-07 12:00:00,219.124968701258,
2021-10-07 13:30:00,215.34928754000748,
2021-10-07 15:00:00,265.0327000953214,
2021-10-07 15:30:30,265.0327000953214,
2021-10-07 23:59:59,252.61544470952936,c
2021-10-08 00:00:00,262.6252538803601,
2021-10-08 10:00:00,245.98284128591104,
2021-10-08 10:30:00,255.503941997702,
2021-10-08 12:00:00,258.1314205268611,
2021-10-08 13:30:00,269.53149835049703,
2021-10-08 15:00:00,264.8240860325802,
2021-10-08 15:30:30,264.8240860325802,
2021-10-08 23:59:59,274.53878349535375,w
2021-10-11 00:00:00,291.60192283583183,
2021-10-11 10:00:00,305.83547189643036,
2021-10-11 10:30:00,285.46568038720125,
2021-10-11 12:00:00,304.63070948516315,
2021-10-11 13:30:00,303.58350645188034,
2021-10-11 15:00:00,314.8285969105443,
2021-10-11 15:30:30,314.8285969105443,
2021-10-11 23:59:59,317.364206545961,c
