date,CAD_CDZ_2023_Q1,meta
2023-02-03 12:00:00,211.3299234810473,
2023-02-03 13:30:00,205.96284174891528,
2023-02-03 15:00:00,201.17609657449813,
2023-02-03 15:30:30,201.17609657449813,
2023-02-03 23:59:59,201.57226114537454,w
2023-02-06 00:00:00,192.2756656959337,
2023-02-06 10:00:00,204.46106908275777,
2023-02-06 10:30:00,207.2123554133307,
2023-02-06 12:00:00,216.23618380596224,
2023-02-06 13:30:00,223.38123805984324,
2023-02-06 15:00:00,216.64353390850476,
2023-02-06 15:30:30,216.64353390850476,
2023-02-06 23:59:59,213.10110810777647,c
2023-02-07 00:00:00,213.49096633984058,
2023-02-07 10:00:00,219.73097548449357,
2023-02-07 10:30:00,229.9511140512722,
2023-02-07 12:00:00,226.75212489896137,
2023-02-07 13:30:00,225.1248738522052,
2023-02-07 15:00:00,228.61426346106055,
2023-02-07 15:30:30,228.61426346106055,
2023-02-07 23:59:59,226.06216233226016,c
2023-02-08 00:00:00,213.93925353316547,
2023-02-08 10:00:00,220.9587529826573,
2023-02-08 10:30:00,211.74343965906553,
2023-02-08 12:00:00,230.81294117717022,
2023-02-08 13:30:00,225.8749676816829,
2023-02-08 15:00:00,224.5852051938353,
2023-02-08 15:30:30,224.5852051938353,
2023-02-08 23:59:59,214.8845179634547,c
2023-02-09 00:00:00,207.19580766827423,
2023-02-09 10:00:00,220.5673142336659,
2023-02-09 10:30:00,225.8514354927831,
2023-02-09 12:00:00,218.6641794389532,
2023-02-09 13:30:00,219.2792230580651,
2023-02-09 15:00:00,215.5050355074926,
2023-02-09 15:30:30,215.5050355074926,
2023-02-09 23:59:59,217.5701769672463,c
2023-02-10 00:00:00,198.8190440487902,
2023-02-10 10:00:00,177.7652559030676,
2023-02-10 10:30:00,181.2295039729301,
2023-02-10 12:00:00,174.35933568165842,
2023-02-10 13:30:00,173.70786558060007,
2023-02-10 15:00:00,164.57799819061287,
2023-02-10 15:30:30,164.57799819061287,
2023-02-10 23:59:59,166.26350825532106,w
2023-02-13 00:00:00,172.1597907238761,
2023-02-13 10:00:00,169.1909457915855,
2023-02-13 10:30:00,172.60363745283496,
2023-02-13 12:00:00,170.123466287623,
2023-02-13 13:30:00,170.4036894516007,
2023-02-13 15:00:00,162.23732700123645,
2023-02-13 15:30:30,162.23732700123645,
2023-02-13 23:59:59,167.28404341042324,c
2023-02-14 00:00:00,177.11371444312007,
2023-02-14 10:00:00,170.92223565415696,
2023-02-14 10:30:00,168.80316756804487,
2023-02-14 12:00:00,160.5817457533728,
2023-02-14 13:30:00,168.4101442017763,
2023-02-14 15:00:00,159.84843671693415,
2023-02-14 15:30:30,159.84843671693415,
2023-02-14 23:59:59,159.9448615461827,c
