date,MSCI_ESG_HEDGED_2022_Q1,meta
2022-02-02 13:30:00,30.566858261155858,
2022-02-02 15:00:00,35.35590938506584,
2022-02-02 15:30:30,35.35590938506584,
2022-02-02 23:59:59,43.67329256860967,c
2022-02-03 00:00:00,39.15428510313495,
2022-02-03 10:00:00,48.55427684756887,
2022-02-03 10:30:00,56.31333417259725,
2022-02-03 12:00:00,49.13558928077214,
2022-02-03 13:30:00,45.694301638614206,
2022-02-03 15:00:00,38.751566613370414,
2022-02-03 15:30:30,38.751566613370414,
2022-02-03 23:59:59,28.83162013943138,c
2022-02-04 00:00:00,28.132543390493993,
2022-02-04 10:00:00,17.513991206352557,
2022-02-04 10:30:00,18.21429379395454,
2022-02-04 12:00:00,19.054381682327858,
2022-02-04 13:30:00,30.804746991272395,
2022-02-04 15:00:00,28.515285787363155,
