date,CAD_FTSE_2021_Q3,meta
2021-09-02 13:30:00,636.6646124734068,
2021-09-02 15:00:00,627.6981163748405,
2021-09-02 15:30:30,627.6981163748405,
2021-09-02 23:59:59,646.0890881691378,c
2021-09-03 00:00:00,645.9743049751849,
2021-09-03 10:00:00,651.7515510693152,
2021-09-03 10:30:00,654.4128129932783,
2021-09-03 12:00:00,666.0694428322965,
2021-09-03 13:30:00,668.1837623514041,
2021-09-03 15:00:00,691.5387307511648,
2021-09-03 15:30:30,691.5387307511648,
2021-09-03 23:59:59,685.6053971750343,w
2021-09-06 00:00:00,685.6053971750343,
2021-09-06 10:00:00,685.6053971750343,
2021-09-06 10:30:00,685.6053971750343,
2021-09-06 12:00:00,685.6053971750343,
2021-09-06 13:30:00,685.6053971750343,
2021-09-06 15:00:00,685.6053971750343,
2021-09-06 15:30:30,685.6053971750343,
2021-09-06 23:59:59,685.6053971750343,c
2021-09-07 00:00:00,724.1060563716724,
2021-09-07 10:00:00,651.9340487958116,
2021-09-07 10:30:00,685.1249515153827,
2021-09-07 12:00:00,703.9326851188359,
2021-09-07 13:30:00,752.2271786435579,
2021-09-07 15:00:00,756.2034644219466,
2021-09-07 15:30:30,756.2034644219466,
2021-09-07 23:59:59,771.2041748257209,c
2021-09-08 00:00:00,776.0179744447469,
2021-09-08 10:00:00,737.693850764621,
2021-09-08 10:30:00,729.5047975676141,
2021-09-08 12:00:00,689.1673876195334,
2021-09-08 13:30:00,723.3326371967169,
2021-09-08 15:00:00,700.5555575615713,
2021-09-08 15:30:30,700.5555575615713,
2021-09-08 23:59:59,702.4227137225412,c
2021-09-09 00:00:00,727.0741219928407,
2021-09-09 10:00:00,765.0553578891775,
2021-09-09 10:30:00,788.7723076447062,
2021-09-09 12:00:00,831.953371476247,
2021-09-09 13:30:00,858.9899300385448,
2021-09-09 15:00:00,918.0075770962073,
2021-09-09 15:30:30,918.0075770962073,
2021-09-09 23:59:59,907.044399929192,c
2021-09-10 00:00:00,925.9598349772834,
2021-09-10 10:00:00,911.942735566086,
2021-09-10 10:30:00,897.5815140446036,
2021-09-10 12:00:00,927.9374036230593,
2021-09-10 13:30:00,954.570864328897,
2021-09-10 15:00:00,932.880807575249,
2021-09-10 15:30:30,932.880807575249,
2021-09-10 23:59:59,960.1307079072362,w
2021-09-13 00:00:00,955.5228233038333,
2021-09-13 10:00:00,821.5591787332651,
2021-09-13 10:30:00,730.3700884735986,
2021-09-13 12:00:00,630.425236442411,
2021-09-13 13:30:00,691.0784989260878,
2021-09-13 15:00:00,692.6243946596076,
2021-09-13 15:30:30,692.6243946596076,
2021-09-13 23:59:59,720.0876809906065,c
2021-09-14 00:00:00,765.9843056309426,
2021-09-14 10:00:00,769.1240573280445,
2021-09-14 10:30:00,733.5587646985334,
2021-09-14 12:00:00,784.5329513603433,
2021-09-14 13:30:00,838.0854239252601,
2021-09-14 15:00:00,862.9306599162107,
2021-09-14 15:30:30,862.9306599162107,
2021-09-14 23:59:59,887.3718580593488,c
2021-09-15 00:00:00,878.4316324345737,
2021-09-15 10:00:00,975.9034132711722,
2021-09-15 10:30:00,887.0271318414768,
2021-09-15 12:00:00,887.5164803340444,
2021-09-15 13:30:00,935.4927643112119,
2021-09-15 15:00:00,953.2059447944666,
2021-09-15 15:30:30,953.2059447944666,
2021-09-15 23:59:59,923.703742572698,c
2021-09-16 00:00:00,917.0204467050216,
2021-09-16 10:00:00,993.8404287661415,
2021-09-16 10:30:00,972.8827479534993,
2021-09-16 12:00:00,972.8561040197276,
2021-09-16 13:30:00,1030.9827904338947,
2021-09-16 15:00:00,1067.539571261557,
2021-09-16 15:30:30,1067.539571261557,
2021-09-16 23:59:59,1141.4302742873842,c
2021-09-17 00:00:00,1208.4052468466468,
2021-09-17 10:00:00,1243.3278630239433,
2021-09-17 10:30:00,1170.8130925773785,
2021-09-17 12:00:00,1127.613527500835,
2021-09-17 13:30:00,1173.9516771429276,
2021-09-17 15:00:00,1185.151873513252,
2021-09-17 15:30:30,1185.151873513252,
2021-09-17 23:59:59,1103.3342866440294,e
2021-09-20 00:00:00,921.7281835832578,
2021-09-20 10:00:00,1065.221720727538,
2021-09-20 10:30:00,974.5634040503187,
2021-09-20 12:00:00,964.7308896239304,
2021-09-20 13:30:00,1000.1896090988396,
2021-09-20 15:00:00,947.6286644606444,
2021-09-20 15:30:30,947.6286644606444,
2021-09-20 23:59:59,971.1905001578846,c
2021-09-21 00:00:00,994.6263362947573,
2021-09-21 10:00:00,1013.1909853430295,
2021-09-21 10:30:00,950.9802851509,
2021-09-21 12:00:00,933.8651079140673,
2021-09-21 13:30:00,912.8718535596608,
2021-09-21 15:00:00,945.4992770983929,
2021-09-21 15:30:30,945.4992770983929,
2021-09-21 23:59:59,946.2337620853623,c
2021-09-22 00:00:00,954.3629124164013,
2021-09-22 10:00:00,913.5161122620291,
2021-09-22 10:30:00,975.6697364081465,
2021-09-22 12:00:00,919.4624361542665,
2021-09-22 13:30:00,892.4560057001031,
2021-09-22 15:00:00,853.6657032196322,
2021-09-22 15:30:30,853.6657032196322,
2021-09-22 23:59:59,903.0050480583159,c
2021-09-23 00:00:00,934.3832098159178,
2021-09-23 10:00:00,838.0411425511302,
2021-09-23 10:30:00,803.9406010056641,
2021-09-23 12:00:00,758.718083147995,
2021-09-23 13:30:00,791.0247826360626,
2021-09-23 15:00:00,795.1236316727486,
2021-09-23 15:30:30,795.1236316727486,
2021-09-23 23:59:59,791.3364332286958,c
2021-09-24 00:00:00,758.0778875539349,
2021-09-24 10:00:00,688.0715508287406,
2021-09-24 10:30:00,647.0400313688456,
2021-09-24 12:00:00,643.0813207410476,
2021-09-24 13:30:00,653.8342116213446,
2021-09-24 15:00:00,624.8863660785869,
2021-09-24 15:30:30,624.8863660785869,
2021-09-24 23:59:59,638.4087849126886,w
2021-09-27 00:00:00,592.250478290623,
2021-09-27 10:00:00,522.4866970558758,
2021-09-27 10:30:00,615.9527207641381,
2021-09-27 12:00:00,608.6769600949442,
2021-09-27 13:30:00,656.1244898539462,
2021-09-27 15:00:00,707.7836337906822,
2021-09-27 15:30:30,707.7836337906822,
2021-09-27 23:59:59,657.0380797685023,c
2021-09-28 00:00:00,563.7428207318435,
2021-09-28 10:00:00,492.64819958563777,
2021-09-28 10:30:00,442.4565002294417,
2021-09-28 12:00:00,466.7441148791399,
2021-09-28 13:30:00,496.1475791240794,
2021-09-28 15:00:00,497.9147353395443,
2021-09-28 15:30:30,497.9147353395443,
2021-09-28 23:59:59,473.76801574760606,c
2021-09-29 00:00:00,351.4264879436442,
2021-09-29 10:00:00,407.628732207115,
2021-09-29 10:30:00,266.241261616877,
2021-09-29 12:00:00,289.4035963974481,
2021-09-29 13:30:00,276.79539228112793,
2021-09-29 15:00:00,249.72405203982402,
2021-09-29 15:30:30,249.72405203982402,
2021-09-29 23:59:59,205.03606779446574,c
2021-09-30 00:00:00,176.5741486010474,
2021-09-30 10:00:00,238.1802517256287,
2021-09-30 10:30:00,234.10429336063288,
2021-09-30 12:00:00,159.82893089028545,
2021-09-30 13:30:00,73.1539616847814,
2021-09-30 15:00:00,183.2105385753528,
2021-09-30 15:30:30,183.2105385753528,
2021-09-30 23:59:59,173.03304526996413,c
2021-10-01 00:00:00,126.063879670103,
2021-10-01 10:00:00,225.1376324740599,
2021-10-01 10:30:00,266.121960268569,
2021-10-01 12:00:00,301.6895960774579,
2021-10-01 13:30:00,320.44798617970156,
2021-10-01 15:00:00,373.0326578537078,
2021-10-01 15:30:30,373.0326578537078,
2021-10-01 23:59:59,343.19436784473424,w
2021-10-04 00:00:00,290.85823005634217,
2021-10-04 10:00:00,181.1687481006191,
2021-10-04 10:30:00,102.03741225737991,
2021-10-04 12:00:00,111.64380593832516,
2021-10-04 13:30:00,146.14120885984983,
2021-10-04 15:00:00,116.65465903777073,
2021-10-04 15:30:30,116.65465903777073,
2021-10-04 23:59:59,122.44030191885957,c
2021-10-05 00:00:00,130.94415082237498,
2021-10-05 10:00:00,196.96982310204777,
2021-10-05 10:30:00,226.29607504055826,
2021-10-05 12:00:00,217.50629926505695,
2021-10-05 13:30:00,231.712545063415,
2021-10-05 15:00:00,255.40483004705123,
2021-10-05 15:30:30,255.40483004705123,
2021-10-05 23:59:59,288.3483095626303,c
2021-10-06 00:00:00,212.20561516121717,
2021-10-06 10:00:00,219.1326803212698,
2021-10-06 10:30:00,193.85231995174917,
2021-10-06 12:00:00,153.602839008736,
2021-10-06 13:30:00,201.5474235996209,
2021-10-06 15:00:00,311.5696924798693,
2021-10-06 15:30:30,311.5696924798693,
2021-10-06 23:59:59,354.9625922908353,c
2021-10-07 00:00:00,380.14803639414475,
2021-10-07 10:00:00,495.16821848145463,
2021-10-07 10:30:00,499.77452206281697,
2021-10-07 12:00:00,510.2866847890502,
2021-10-07 13:30:00,614.4661947257637,
2021-10-07 15:00:00,588.1399697145421,
2021-10-07 15:30:30,588.1399697145421,
2021-10-07 23:59:59,545.5584793625876,c
2021-10-08 00:00:00,543.6824625752938,
2021-10-08 10:00:00,442.91440037680815,
2021-10-08 10:30:00,444.8539306289228,
2021-10-08 12:00:00,338.5520314923895,
2021-10-08 13:30:00,328.1417632697301,
2021-10-08 15:00:00,331.0683376323911,
2021-10-08 15:30:30,331.0683376323911,
2021-10-08 23:59:59,324.74630097208325,w
