date,DJSECT_2020_Q4,meta
2020-12-29 10:00:00,-74.52141547106385,
2020-12-29 10:30:00,-73.3634614682087,
2020-12-29 12:00:00,-74.78898189098618,
2020-12-29 13:30:00,-44.215687205071845,
2020-12-29 15:00:00,-50.34241882937113,
2020-12-29 15:30:30,-50.34241882937113,
2020-12-29 23:59:59,-61.94113815538003,c
2020-12-30 00:00:00,-61.375739068528674,
2020-12-30 10:00:00,-115.11755981716033,
2020-12-30 10:30:00,-111.1162915635623,
2020-12-30 12:00:00,-86.70371984639405,
2020-12-30 13:30:00,-104.37372548136045,
2020-12-30 15:00:00,-93.8549788368664,
2020-12-30 15:30:30,-93.8549788368664,
2020-12-30 23:59:59,-95.19206970546293,c
2020-12-31 00:00:00,-101.32472968939146,
2020-12-31 10:00:00,-103.29748375034615,
2020-12-31 10:30:00,-103.56977251185253,
2020-12-31 12:00:00,-113.65565984967634,
2020-12-31 13:30:00,-132.621207639947,
2020-12-31 15:00:00,-150.1788735170503,
2020-12-31 15:30:30,-150.1788735170503,
2020-12-31 23:59:59,-159.17234042904238,c
2021-01-01 00:00:00,-159.17234042904238,
2021-01-01 10:00:00,-159.17234042904238,
2021-01-01 10:30:00,-159.17234042904238,
2021-01-01 12:00:00,-159.17234042904238,
2021-01-01 13:30:00,-159.17234042904238,
2021-01-01 15:00:00,-159.17234042904238,
2021-01-01 15:30:30,-159.17234042904238,
2021-01-01 23:59:59,-159.17234042904238,w
