date,WMT_WW_2020_Q3,meta
2020-09-10 13:30:00,-128.12397542853208,
2020-09-10 15:00:00,-131.02730172231347,
2020-09-10 15:30:30,-131.02730172231347,
2020-09-10 23:59:59,-115.77290457573534,c
2020-09-11 00:00:00,-118.92228750494048,
2020-09-11 10:00:00,-103.8775427892223,
2020-09-11 10:30:00,-107.98137471965401,
2020-09-11 12:00:00,-108.81689432579205,
2020-09-11 13:30:00,-74.13176941882595,
2020-09-11 15:00:00,-75.85438048327939,
2020-09-11 15:30:30,-75.85438048327939,
2020-09-11 23:59:59,-83.90204822623505,w
2020-09-14 00:00:00,-28.33232084934041,
2020-09-14 10:00:00,-81.64537699882163,
2020-09-14 10:30:00,-89.55552399685382,
2020-09-14 12:00:00,-78.529429197184,
2020-09-14 13:30:00,-70.50002877342925,
2020-09-14 15:00:00,-74.33226452777609,
2020-09-14 15:30:30,-74.33226452777609,
2020-09-14 23:59:59,-74.4922343351014,c
2020-09-15 00:00:00,-94.03154148311019,
2020-09-15 10:00:00,-86.83506363007427,
2020-09-15 10:30:00,-58.08729152780623,
2020-09-15 12:00:00,-75.00574701863974,
2020-09-15 13:30:00,-85.40384253412262,
2020-09-15 15:00:00,-81.49783903025761,
2020-09-15 15:30:30,-81.49783903025761,
2020-09-15 23:59:59,-82.921382317774,c
2020-09-16 00:00:00,-97.71495305014476,
2020-09-16 10:00:00,-70.3459716216594,
2020-09-16 10:30:00,-39.16621348427534,
2020-09-16 12:00:00,-37.43823918020203,
2020-09-16 13:30:00,-57.402886933689565,
2020-09-16 15:00:00,-59.539978988369555,
2020-09-16 15:30:30,-59.539978988369555,
2020-09-16 23:59:59,-64.47762018148453,c
2020-09-17 00:00:00,-78.89474052717834,
2020-09-17 10:00:00,-121.60896227261125,
2020-09-17 10:30:00,-89.66284744717701,
2020-09-17 12:00:00,-107.25998516886533,
2020-09-17 13:30:00,-108.17471806327552,
2020-09-17 15:00:00,-116.56404096202775,
2020-09-17 15:30:30,-116.56404096202775,
2020-09-17 23:59:59,-112.08516716933102,c
2020-09-18 00:00:00,-91.61707068754882,
2020-09-18 10:00:00,-129.04368542221636,
2020-09-18 10:30:00,-124.66110888473092,
2020-09-18 12:00:00,-121.91306876019985,
2020-09-18 13:30:00,-118.44288233559281,
2020-09-18 15:00:00,-116.08163313078805,
2020-09-18 15:30:30,-116.08163313078805,
2020-09-18 23:59:59,-105.66321405307576,w
2020-09-21 00:00:00,-184.7804761138171,
2020-09-21 10:00:00,-183.4293542199455,
2020-09-21 10:30:00,-189.64838986262754,
2020-09-21 12:00:00,-188.3600487270795,
2020-09-21 13:30:00,-197.9933483058654,
2020-09-21 15:00:00,-228.97264719372095,
2020-09-21 15:30:30,-228.97264719372095,
2020-09-21 23:59:59,-209.04292502107322,c
2020-09-22 00:00:00,-205.90007823662683,
2020-09-22 10:00:00,-186.45851636803968,
2020-09-22 10:30:00,-171.54885009866135,
2020-09-22 12:00:00,-193.5191637672767,
2020-09-22 13:30:00,-217.777299611143,
2020-09-22 15:00:00,-208.75410873974116,
