date,SML_HEDGED_2021_Q2,meta
2021-06-23 12:00:00,-228.8826498048461,
2021-06-23 13:30:00,-213.36063669646,
2021-06-23 15:00:00,-197.55982301632503,
2021-06-23 15:30:30,-197.55982301632503,
2021-06-23 23:59:59,-185.23924515438284,c
2021-06-24 00:00:00,-227.86211545664264,
2021-06-24 10:00:00,-195.18755669543043,
2021-06-24 10:30:00,-196.1589248713176,
2021-06-24 12:00:00,-179.04177511046964,
2021-06-24 13:30:00,-174.83035142720837,
2021-06-24 15:00:00,-129.41965215709433,
2021-06-24 15:30:30,-129.41965215709433,
2021-06-24 23:59:59,-140.64620140867692,c
2021-06-25 00:00:00,-109.94331143631598,
2021-06-25 10:00:00,-122.20436575691747,
2021-06-25 10:30:00,-135.69372161508682,
2021-06-25 12:00:00,-114.10519855180019,
2021-06-25 13:30:00,-123.43164320297319,
2021-06-25 15:00:00,-71.92251065374785,
2021-06-25 15:30:30,-71.92251065374785,
2021-06-25 23:59:59,-133.28815763053217,w
2021-06-28 00:00:00,-194.7226441892567,
2021-06-28 10:00:00,-235.62919292947254,
2021-06-28 10:30:00,-265.1945157516179,
2021-06-28 12:00:00,-333.5818977112258,
2021-06-28 13:30:00,-317.34836390054215,
2021-06-28 15:00:00,-307.7996554892775,
2021-06-28 15:30:30,-307.7996554892775,
2021-06-28 23:59:59,-272.9066154496477,c
2021-06-29 00:00:00,-237.94391429858388,
2021-06-29 10:00:00,-208.43149171528557,
2021-06-29 10:30:00,-208.95155935703679,
2021-06-29 12:00:00,-226.35636298699274,
2021-06-29 13:30:00,-222.76438704592965,
2021-06-29 15:00:00,-244.87703104738648,
2021-06-29 15:30:30,-244.87703104738648,
2021-06-29 23:59:59,-248.48349691418844,c
2021-06-30 00:00:00,-292.45859917577764,
2021-06-30 10:00:00,-579.4906387921737,
2021-06-30 10:30:00,-513.8330782250832,
2021-06-30 12:00:00,-390.5539673074345,
2021-06-30 13:30:00,-374.8296502700641,
2021-06-30 15:00:00,-345.4681924015531,
2021-06-30 15:30:30,-345.4681924015531,
2021-06-30 23:59:59,-396.3900521632495,c
2021-07-01 00:00:00,-410.57417475024613,
2021-07-01 10:00:00,-297.56589732679913,
