date,US_MISC_2022_Q2,meta
2022-06-28 10:00:00,94.89446845686814,
2022-06-28 10:30:00,81.9222283362717,
2022-06-28 12:00:00,74.55885007065382,
2022-06-28 13:30:00,68.2788259454511,
2022-06-28 15:00:00,61.237619997744645,
2022-06-28 15:30:30,61.237619997744645,
2022-06-28 23:59:59,58.916250921758405,c
2022-06-29 00:00:00,18.58685921816479,
2022-06-29 10:00:00,-60.34716546566722,
2022-06-29 10:30:00,4.227043566224296,
2022-06-29 12:00:00,-9.397641464605528,
2022-06-29 13:30:00,-33.32093207322302,
2022-06-29 15:00:00,-50.94073315885805,
2022-06-29 15:30:30,-50.94073315885805,
2022-06-29 23:59:59,-21.179201360605816,c
2022-06-30 00:00:00,14.335964497024094,
2022-06-30 10:00:00,-0.45111027757866395,
2022-06-30 10:30:00,-34.331516007715805,
2022-06-30 12:00:00,-26.072144088358698,
2022-06-30 13:30:00,10.502608169559863,
2022-06-30 15:00:00,-6.506162698920946,
2022-06-30 15:30:30,-6.506162698920946,
2022-06-30 23:59:59,-2.043141568539596,c
2022-07-01 00:00:00,4.159913135521094,
2022-07-01 10:00:00,33.63575598558643,
2022-07-01 10:30:00,23.855698368025855,
2022-07-01 12:00:00,15.209850125102435,
2022-07-01 13:30:00,18.538024764619962,
2022-07-01 15:00:00,27.71912817387414,
2022-07-01 15:30:30,27.71912817387414,
2022-07-01 23:59:59,22.23834239709106,w
