date,MOAT_2021_Q3,meta
2021-09-10 15:00:00,4.203380545008258,
2021-09-10 15:30:30,4.203380545008258,
2021-09-10 23:59:59,0.0,a
2021-09-13 00:00:00,27.502948663078428,
2021-09-13 10:00:00,132.63615178920827,
2021-09-13 10:30:00,127.07508982278,
2021-09-13 12:00:00,136.9313685896301,
2021-09-13 13:30:00,144.77621659789213,
2021-09-13 15:00:00,141.3491064462778,
2021-09-13 15:30:30,141.3491064462778,
2021-09-13 23:59:59,128.14944958602712,c
2021-09-14 00:00:00,115.53596692782526,
2021-09-14 10:00:00,107.1330913969174,
2021-09-14 10:30:00,98.53011210089619,
2021-09-14 12:00:00,104.05714182073712,
2021-09-14 13:30:00,112.00777088741586,
2021-09-14 15:00:00,101.413051131555,
2021-09-14 15:30:30,101.413051131555,
2021-09-14 23:59:59,97.62901470221743,c
2021-09-15 00:00:00,92.75236896905756,
2021-09-15 10:00:00,110.51465770668744,
2021-09-15 10:30:00,91.50458629789637,
2021-09-15 12:00:00,109.1635931771358,
2021-09-15 13:30:00,99.16199235579359,
2021-09-15 15:00:00,94.44874590523773,
2021-09-15 15:30:30,94.44874590523773,
2021-09-15 23:59:59,106.24497400648056,c
2021-09-16 00:00:00,89.4806511046587,
2021-09-16 10:00:00,137.66035797019583,
2021-09-16 10:30:00,137.88812531821225,
2021-09-16 12:00:00,135.64032407872855,
2021-09-16 13:30:00,133.83485507782666,
2021-09-16 15:00:00,129.97464742081797,
2021-09-16 15:30:30,129.97464742081797,
2021-09-16 23:59:59,112.04251646085356,c
2021-09-17 00:00:00,107.34152455755736,
2021-09-17 10:00:00,87.80273045371553,
2021-09-17 10:30:00,65.79906705869075,
2021-09-17 12:00:00,76.89741436658005,
2021-09-17 13:30:00,81.05922856670395,
2021-09-17 15:00:00,87.82471965334923,
2021-09-17 15:30:30,87.82471965334923,
2021-09-17 23:59:59,69.15926609233418,e
2021-09-20 00:00:00,65.46306179355327,
2021-09-20 10:00:00,36.23021496612148,
2021-09-20 10:30:00,32.69385031413924,
2021-09-20 12:00:00,31.945650908206176,
2021-09-20 13:30:00,30.708389514296982,
2021-09-20 15:00:00,44.71908639385242,
2021-09-20 15:30:30,44.71908639385242,
2021-09-20 23:59:59,34.12677174101441,c
2021-09-21 00:00:00,30.246335246944682,
2021-09-21 10:00:00,2.963545474744251,
2021-09-21 10:30:00,7.58123129200726,
2021-09-21 12:00:00,-0.26449726719488353,
2021-09-21 13:30:00,5.068424296738385,
2021-09-21 15:00:00,6.041237602931574,
2021-09-21 15:30:30,6.041237602931574,
2021-09-21 23:59:59,6.9109431250234366,c
2021-09-22 00:00:00,53.81575913730137,
2021-09-22 10:00:00,56.35108915273349,
2021-09-22 10:30:00,40.295672297031615,
2021-09-22 12:00:00,58.30037070600429,
2021-09-22 13:30:00,60.779265308410345,
2021-09-22 15:00:00,76.97004785474417,
2021-09-22 15:30:30,76.97004785474417,
2021-09-22 23:59:59,72.22892546436105,c
2021-09-23 00:00:00,55.96746416408246,
2021-09-23 10:00:00,77.80470325507918,
2021-09-23 10:30:00,76.56465344492165,
2021-09-23 12:00:00,93.33840538352138,
2021-09-23 13:30:00,90.26180523379935,
2021-09-23 15:00:00,88.71998631240342,
2021-09-23 15:30:30,88.71998631240342,
2021-09-23 23:59:59,94.96150555171846,c
2021-09-24 00:00:00,88.96378895491182,
2021-09-24 10:00:00,107.94032949384211,
2021-09-24 10:30:00,112.86894311988362,
2021-09-24 12:00:00,122.96080289167253,
2021-09-24 13:30:00,106.74029013936217,
2021-09-24 15:00:00,106.14399968816076,
2021-09-24 15:30:30,106.14399968816076,
2021-09-24 23:59:59,104.01652594122004,w
2021-09-27 00:00:00,136.7893668197189,
2021-09-27 10:00:00,162.48662419075913,
2021-09-27 10:30:00,168.4721417102553,
2021-09-27 12:00:00,186.2793266239854,
2021-09-27 13:30:00,191.04624651444487,
2021-09-27 15:00:00,199.89306809078528,
2021-09-27 15:30:30,199.89306809078528,
2021-09-27 23:59:59,196.732653100353,c
2021-09-28 00:00:00,218.92063006036665,
2021-09-28 10:00:00,237.74202395777888,
2021-09-28 10:30:00,251.97331979318574,
2021-09-28 12:00:00,257.35140529232217,
2021-09-28 13:30:00,252.0443046958727,
2021-09-28 15:00:00,246.6505759547382,
2021-09-28 15:30:30,246.6505759547382,
2021-09-28 23:59:59,256.4124955071178,c
2021-09-29 00:00:00,241.5788309497699,
2021-09-29 10:00:00,247.65424854255764,
2021-09-29 10:30:00,243.4889829780077,
2021-09-29 12:00:00,222.2034463636885,
2021-09-29 13:30:00,228.9220964949253,
2021-09-29 15:00:00,212.2747940421424,
2021-09-29 15:30:30,212.2747940421424,
2021-09-29 23:59:59,214.94232972603913,c
2021-09-30 00:00:00,222.55867629701515,
2021-09-30 10:00:00,200.64478530969723,
2021-09-30 10:30:00,176.05424755326283,
2021-09-30 12:00:00,186.0397114802072,
2021-09-30 13:30:00,182.2748453394015,
2021-09-30 15:00:00,180.76629164764506,
2021-09-30 15:30:30,180.76629164764506,
2021-09-30 23:59:59,177.49115748923907,c
2021-10-01 00:00:00,199.28110317371716,
2021-10-01 10:00:00,200.35820425805957,
2021-10-01 10:30:00,196.44006361223887,
2021-10-01 12:00:00,187.8609886958684,
2021-10-01 13:30:00,183.69256904829285,
2021-10-01 15:00:00,173.53350132533296,
2021-10-01 15:30:30,173.53350132533296,
2021-10-01 23:59:59,160.47280732056845,w
2021-10-04 00:00:00,159.29909013840802,
2021-10-04 10:00:00,187.22109572206216,
2021-10-04 10:30:00,182.7125463636619,
2021-10-04 12:00:00,202.43163275862287,
2021-10-04 13:30:00,207.40024845042046,
2021-10-04 15:00:00,191.42379207250076,
2021-10-04 15:30:30,191.42379207250076,
2021-10-04 23:59:59,194.0347395022477,c
2021-10-05 00:00:00,181.18973535127134,
2021-10-05 10:00:00,168.12998373631444,
2021-10-05 10:30:00,181.98923144663604,
2021-10-05 12:00:00,185.21566936699537,
2021-10-05 13:30:00,182.89177122931278,
2021-10-05 15:00:00,174.5588059721141,
2021-10-05 15:30:30,174.5588059721141,
2021-10-05 23:59:59,185.20037532807464,c
2021-10-06 00:00:00,189.12589179118038,
2021-10-06 10:00:00,196.2438917099721,
2021-10-06 10:30:00,178.3157905907443,
2021-10-06 12:00:00,185.204883531718,
2021-10-06 13:30:00,175.43110004017274,
2021-10-06 15:00:00,172.81522512083973,
2021-10-06 15:30:30,172.81522512083973,
2021-10-06 23:59:59,171.42312031383256,c
2021-10-07 00:00:00,160.33705011867642,
2021-10-07 10:00:00,144.5603252817166,
2021-10-07 10:30:00,139.92824424228297,
2021-10-07 12:00:00,150.47761851393182,
2021-10-07 13:30:00,146.11507790626615,
2021-10-07 15:00:00,141.77534194838302,
2021-10-07 15:30:30,141.77534194838302,
2021-10-07 23:59:59,143.29977619648218,c
2021-10-08 00:00:00,138.86487255542409,
2021-10-08 10:00:00,147.44262740214413,
2021-10-08 10:30:00,151.86699977028945,
2021-10-08 12:00:00,158.53204850820748,
2021-10-08 13:30:00,165.57307049118913,
2021-10-08 15:00:00,166.82261872447202,
2021-10-08 15:30:30,166.82261872447202,
2021-10-08 23:59:59,171.59959881638395,w
