date,SPHD_2022_Q3,meta
2022-08-10 15:00:00,22.098317746955765,
2022-08-10 15:30:30,22.098317746955765,
2022-08-10 23:59:59,17.091109358773103,c
2022-08-11 00:00:00,44.390515322766404,
2022-08-11 10:00:00,47.102854743110186,
2022-08-11 10:30:00,55.24781708272383,
2022-08-11 12:00:00,45.876852208979,
2022-08-11 13:30:00,50.873407582813044,
2022-08-11 15:00:00,53.72515704598848,
2022-08-11 15:30:30,53.72515704598848,
2022-08-11 23:59:59,59.49660963660432,c
2022-08-12 00:00:00,71.77403801925585,
2022-08-12 10:00:00,61.41650068808153,
2022-08-12 10:30:00,66.92780115929014,
2022-08-12 12:00:00,63.36947562418172,
2022-08-12 13:30:00,69.07813582757737,
2022-08-12 15:00:00,71.45013350280189,
2022-08-12 15:30:30,71.45013350280189,
2022-08-12 23:59:59,70.26371537050812,w
