date,PAR2_AD_20211230,meta
2021-12-31 10:00:00,1546.7875598739136,
2021-12-31 10:30:00,1546.8095349411963,
2021-12-31 12:00:00,1529.7363677891988,
2021-12-31 13:30:00,1514.375666125982,
2021-12-31 15:00:00,1512.8540710659247,
2021-12-31 15:30:30,1512.8540710659247,
2021-12-31 23:59:59,1501.1940170194825,w
2022-01-03 00:00:00,1589.750982529443,
2022-01-03 10:00:00,1536.2176676228657,
2022-01-03 10:30:00,1573.251459834625,
2022-01-03 12:00:00,1587.7801008182544,
2022-01-03 13:30:00,1549.220606031721,
2022-01-03 15:00:00,1521.3912926025596,
2022-01-03 15:30:30,1521.3912926025596,
2022-01-03 23:59:59,1487.2959842445919,c
2022-01-04 00:00:00,1502.694891010391,
2022-01-04 10:00:00,1454.689321198682,
