date,TAN_2022_Q4,meta
2022-12-09 15:30:30,15.614298204367515,
2022-12-09 23:59:59,0.0,a
2022-12-12 00:00:00,27.48565710753246,
2022-12-12 10:00:00,208.8479399123339,
2022-12-12 10:30:00,245.14589184653278,
2022-12-12 12:00:00,223.62014363499247,
2022-12-12 13:30:00,190.84891958953995,
2022-12-12 15:00:00,185.431261037877,
2022-12-12 15:30:30,185.431261037877,
2022-12-12 23:59:59,216.36358165262072,c
2022-12-13 00:00:00,402.3115240255411,
2022-12-13 10:00:00,512.8508578750857,
2022-12-13 10:30:00,451.2260134253461,
2022-12-13 12:00:00,329.05721438763885,
2022-12-13 13:30:00,395.63539401324397,
2022-12-13 15:00:00,383.02308294555996,
2022-12-13 15:30:30,383.02308294555996,
2022-12-13 23:59:59,379.6646558670909,c
