date,AS_TWDP_2022_Q2,meta
2022-06-23 02:30:00,-108.58165320841867,
2022-06-23 03:00:00,-108.58165320841867,
2022-06-23 18:30:00,-108.58165320841867,
2022-06-23 20:00:00,-108.58165320841867,
2022-06-23 23:00:00,-136.5934187477228,
2022-06-23 23:59:59,-155.11973485843978,e
2022-06-24 00:00:00,-175.07587584978677,
2022-06-24 01:00:00,-181.8675382939976,
2022-06-24 02:30:00,-181.8675382939976,
2022-06-24 03:00:00,-181.8675382939976,
2022-06-24 18:30:00,-181.8675382939976,
2022-06-24 20:00:00,-181.8675382939976,
2022-06-24 23:00:00,-181.8675382939976,
2022-06-24 23:59:59,-193.40663251334777,w
2022-06-27 00:00:00,-181.26148872561916,
2022-06-27 01:00:00,-190.7677980517985,
2022-06-27 02:30:00,-190.7677980517985,
2022-06-27 03:00:00,-190.7677980517985,
2022-06-27 18:30:00,-190.7677980517985,
2022-06-27 20:00:00,-190.7677980517985,
2022-06-27 23:00:00,-213.94205298015322,
2022-06-27 23:59:59,-205.11684841227952,c
2022-06-28 00:00:00,-198.46171254751334,
2022-06-28 01:00:00,-204.7972495370309,
2022-06-28 02:30:00,-204.7972495370309,
2022-06-28 03:00:00,-204.7972495370309,
2022-06-28 18:30:00,-204.7972495370309,
2022-06-28 20:00:00,-204.7972495370309,
2022-06-28 23:00:00,-182.6852591835804,
2022-06-28 23:59:59,-191.3118714704559,c
2022-06-29 00:00:00,-226.72408488150452,
2022-06-29 01:00:00,-232.38480430013524,
2022-06-29 02:30:00,-232.38480430013524,
2022-06-29 03:00:00,-232.38480430013524,
2022-06-29 18:30:00,-232.38480430013524,
2022-06-29 20:00:00,-232.38480430013524,
2022-06-29 23:00:00,-211.60719499329272,
2022-06-29 23:59:59,-221.32129904158103,c
2022-06-30 00:00:00,-236.6265907211897,
2022-06-30 01:00:00,-242.0475483232868,
2022-06-30 02:30:00,-242.0475483232868,
2022-06-30 03:00:00,-242.0475483232868,
2022-06-30 18:30:00,-242.0475483232868,
2022-06-30 20:00:00,-242.0475483232868,
2022-06-30 23:00:00,-288.268146669163,
2022-06-30 23:59:59,-296.044432074357,c
2022-07-01 00:00:00,-299.73137858153194,
2022-07-01 01:00:00,-313.3406402462044,
2022-07-01 02:30:00,-313.3406402462044,
2022-07-01 03:00:00,-313.3406402462044,
2022-07-01 18:30:00,-313.3406402462044,
2022-07-01 20:00:00,-313.3406402462044,
2022-07-01 23:00:00,-313.3406402462044,
2022-07-01 23:59:59,-334.58973507666843,w
2022-07-04 00:00:00,-334.7319360279907,
2022-07-04 01:00:00,-354.4304096490893,
2022-07-04 02:30:00,-354.4304096490893,
2022-07-04 03:00:00,-354.4304096490893,
2022-07-04 18:30:00,-354.4304096490893,
2022-07-04 20:00:00,-354.4304096490893,
2022-07-04 23:00:00,-418.72840436339106,
2022-07-04 23:59:59,-396.99577542427147,c
2022-07-05 00:00:00,-378.60318615400035,
2022-07-05 01:00:00,-347.023786617136,
2022-07-05 02:30:00,-347.023786617136,
2022-07-05 03:00:00,-347.023786617136,
2022-07-05 18:30:00,-347.023786617136,
2022-07-05 20:00:00,-347.023786617136,
2022-07-05 23:00:00,-364.2337227737307,
2022-07-05 23:59:59,-349.49799934522827,c
2022-07-06 00:00:00,-372.80051995955245,
2022-07-06 01:00:00,-382.4954899351395,
2022-07-06 02:30:00,-382.4954899351395,
2022-07-06 03:00:00,-382.4954899351395,
2022-07-06 18:30:00,-382.4954899351395,
2022-07-06 20:00:00,-382.4954899351395,
2022-07-06 23:00:00,-303.5447127200061,
2022-07-06 23:59:59,-297.7532960589171,c
2022-07-07 00:00:00,-298.9420405843005,
2022-07-07 01:00:00,-293.74164711113144,
2022-07-07 02:30:00,-293.74164711113144,
2022-07-07 03:00:00,-293.74164711113144,
2022-07-07 18:30:00,-293.74164711113144,
2022-07-07 20:00:00,-293.74164711113144,
2022-07-07 23:00:00,-256.73242151182063,
2022-07-07 23:59:59,-271.3679130335138,c
2022-07-08 00:00:00,-251.1674556230568,
2022-07-08 01:00:00,-251.58990238397172,
2022-07-08 02:30:00,-251.58990238397172,
2022-07-08 03:00:00,-251.58990238397172,
2022-07-08 18:30:00,-251.58990238397172,
2022-07-08 20:00:00,-251.58990238397172,
2022-07-08 23:00:00,-251.58990238397172,
2022-07-08 23:59:59,-239.56012788175957,w
2022-07-11 00:00:00,-230.23357038901864,
2022-07-11 01:00:00,-233.80499141767731,
2022-07-11 02:30:00,-233.80499141767731,
2022-07-11 03:00:00,-233.80499141767731,
2022-07-11 18:30:00,-233.80499141767731,
2022-07-11 20:00:00,-233.80499141767731,
2022-07-11 23:00:00,-222.79611896449245,
2022-07-11 23:59:59,-218.41155348372553,c
2022-07-12 00:00:00,-241.51046640278884,
2022-07-12 01:00:00,-259.9836049287542,
2022-07-12 02:30:00,-259.9836049287542,
2022-07-12 03:00:00,-259.9836049287542,
2022-07-12 18:30:00,-259.9836049287542,
2022-07-12 20:00:00,-259.9836049287542,
2022-07-12 23:00:00,-331.32752846133315,
2022-07-12 23:59:59,-325.2400757806272,c
2022-07-13 00:00:00,-289.15512039783187,
2022-07-13 01:00:00,-307.3616265149023,
2022-07-13 02:30:00,-307.3616265149023,
2022-07-13 03:00:00,-307.3616265149023,
2022-07-13 18:30:00,-307.3616265149023,
2022-07-13 20:00:00,-307.3616265149023,
2022-07-13 23:00:00,-275.45098576863427,
2022-07-13 23:59:59,-260.9769072815619,c
2022-07-14 00:00:00,-252.55667429463065,
2022-07-14 01:00:00,-252.84005747268176,
2022-07-14 02:30:00,-252.84005747268176,
2022-07-14 03:00:00,-252.84005747268176,
2022-07-14 18:30:00,-252.84005747268176,
2022-07-14 20:00:00,-252.84005747268176,
2022-07-14 23:00:00,-252.84005747268176,
2022-07-14 23:59:59,-236.70885144054438,c
