date,AS_MSCI_AS_EM_HK_MIG_2022_Q1,meta
2022-02-04 02:30:00,1627.6573707168918,
2022-02-04 03:00:00,1627.3349772798065,
2022-02-04 18:30:00,1627.3349772798065,
2022-02-04 20:00:00,1627.3349772798065,
2022-02-04 23:00:00,1627.3349772798065,
2022-02-04 23:59:59,1629.859729256248,w
2022-02-07 00:00:00,742.6444884833545,
2022-02-07 01:00:00,742.7632882819453,
2022-02-07 02:30:00,841.9474621248428,
2022-02-07 03:00:00,793.6259567357702,
2022-02-07 18:30:00,793.6259567357702,
2022-02-07 20:00:00,793.6259567357702,
2022-02-07 23:00:00,1143.250729288482,
2022-02-07 23:59:59,1137.7354446984955,c
2022-02-08 00:00:00,1090.0888610678412,
2022-02-08 01:00:00,1088.9459068350643,
2022-02-08 02:30:00,1039.7848770431665,
2022-02-08 03:00:00,1089.6888643239672,
2022-02-08 18:30:00,1089.6888643239672,
2022-02-08 20:00:00,1089.6888643239672,
2022-02-08 23:00:00,597.2858306576527,
2022-02-08 23:59:59,592.3987348826049,c
2022-02-09 00:00:00,540.1342834097304,
2022-02-09 01:00:00,342.14583826828675,
2022-02-09 02:30:00,291.9955516301252,
2022-02-09 03:00:00,341.5261961129054,
2022-02-09 18:30:00,341.5261961129054,
2022-02-09 20:00:00,341.5261961129054,
2022-02-09 23:00:00,-0.6415973207458592,
2022-02-09 23:59:59,0.0,a
2022-02-10 00:00:00,-102.56410256410163,
2022-02-10 01:00:00,-150.5234839909608,
2022-02-10 02:30:00,-250.4735658964164,
2022-02-10 03:00:00,-299.4641538768519,
2022-02-10 18:30:00,-299.4641538768519,
2022-02-10 20:00:00,-299.4641538768519,
2022-02-10 23:00:00,-95.6510253763281,
2022-02-10 23:59:59,-97.85351971300952,c
2022-02-11 00:00:00,47.7885983597771,
2022-02-11 01:00:00,50.72204994955791,
2022-02-11 02:30:00,-98.42170927899133,
2022-02-11 03:00:00,-98.29228796330244,
2022-02-11 18:30:00,-98.29228796330244,
2022-02-11 20:00:00,-98.29228796330244,
2022-02-11 23:00:00,-98.29228796330244,
2022-02-11 23:59:59,-103.60128354383414,w
2022-02-14 00:00:00,-203.04858530447018,
2022-02-14 01:00:00,-153.3890590947376,
2022-02-14 02:30:00,-201.7407452765092,
2022-02-14 03:00:00,-101.20571135926548,
2022-02-14 18:30:00,-101.20571135926548,
2022-02-14 20:00:00,-101.20571135926548,
2022-02-14 23:00:00,-348.7179804833995,
2022-02-14 23:59:59,-351.1722417439887,c
0,-351.1722417439887,
0,-351.1722417439887,
0,-351.1722417439887,
0,-351.1722417439887,
0,-351.1722417439887,
0,-351.1722417439887,
0,-351.1722417439887,
0,-351.1722417439887,
0,-351.1722417439887,
0,-351.1722417439887,
0,-351.1722417439887,
0,-351.1722417439887,
0,-351.1722417439887,
0,-351.1722417439887,
0,-351.1722417439887,
0,-351.1722417439887,
0,-351.1722417439887,
0,-351.1722417439887,
0,-351.1722417439887,
0,-351.1722417439887,
0,-351.1722417439887,
0,-351.1722417439887,
0,-351.1722417439887,
0,-351.1722417439887,
2022-02-15 00:00:00,-351.1722417439887,
2022-02-15 01:00:00,-301.7111058623741,
2022-02-15 02:30:00,-103.34231478486618,
2022-02-15 03:00:00,-251.65811458749704,
2022-02-15 18:30:00,-251.65811458749704,
2022-02-15 20:00:00,-251.65811458749704,
2022-02-15 23:00:00,-251.06681175451376,
2022-02-15 23:59:59,-251.59231884508335,c
2022-02-16 00:00:00,-548.7399222898675,
2022-02-16 01:00:00,-598.8758527823538,
2022-02-16 02:30:00,-747.8715353399093,
2022-02-16 03:00:00,-748.4915465602735,
2022-02-16 18:30:00,-748.4915465602735,
2022-02-16 20:00:00,-748.4915465602735,
2022-02-16 23:00:00,-648.4224492406647,
2022-02-16 23:59:59,-647.3987475202612,c
2022-02-17 00:00:00,-598.332393845054,
2022-02-17 01:00:00,-598.332390361993,
2022-02-17 02:30:00,-697.7250655472781,
2022-02-17 03:00:00,-647.8573115735653,
2022-02-17 18:30:00,-647.8573115735653,
2022-02-17 20:00:00,-647.8573115735653,
2022-02-17 23:00:00,-296.93709193571885,
2022-02-17 23:59:59,-297.4650959914161,c
2022-02-18 00:00:00,-153.77953651246753,
2022-02-18 01:00:00,-203.37557297451167,
2022-02-18 02:30:00,-4.802858012128127,
2022-02-18 03:00:00,43.89625178449023,
2022-02-18 18:30:00,43.89625178449023,
2022-02-18 20:00:00,43.89625178449023,
2022-02-18 23:00:00,43.89625178449023,
2022-02-18 23:59:59,44.981085000255916,w
2022-02-21 00:00:00,92.54010711826595,
2022-02-21 01:00:00,142.51973630119028,
2022-02-21 02:30:00,191.80333851462092,
