date,EU_MSCI_DM_SC_ALL_2021_Q4,meta
2021-11-17 23:59:59,347.0365808517363,c
2021-11-18 00:00:00,342.4129824575575,
2021-11-18 03:30:00,365.52111231800154,
2021-11-18 04:00:00,365.79989248571474,
2021-11-18 06:00:00,352.0948322915101,
2021-11-18 08:00:00,327.10499132175937,
2021-11-18 10:30:00,286.928703043508,
2021-11-18 11:00:00,287.8386767508546,
2021-11-18 23:59:59,304.56825638304144,c
2021-11-19 00:00:00,301.2611729449636,
2021-11-19 03:30:00,318.0439630696692,
2021-11-19 04:00:00,311.04344743534784,
2021-11-19 06:00:00,300.6279316288128,
2021-11-19 08:00:00,243.46865440930378,
2021-11-19 10:30:00,291.02014691969816,
2021-11-19 11:00:00,322.1075996018935,
2021-11-19 23:59:59,335.9200341294036,w
2021-11-22 00:00:00,369.64856633133786,
2021-11-22 03:30:00,391.52041650973115,
2021-11-22 04:00:00,371.9726351109148,
2021-11-22 06:00:00,395.3911832019712,
2021-11-22 08:00:00,356.8407252436864,
2021-11-22 10:30:00,352.6813852254345,
2021-11-22 11:00:00,339.9239780761036,
2021-11-22 23:59:59,318.83251847107204,c
2021-11-23 00:00:00,247.20568143091987,
2021-11-23 03:30:00,177.76233518466506,
2021-11-23 04:00:00,232.3959697231494,
2021-11-23 06:00:00,230.0951098719106,
2021-11-23 08:00:00,201.52713452235002,
2021-11-23 10:30:00,224.6616683539869,
2021-11-23 11:00:00,200.39663142320205,
2021-11-23 23:59:59,207.19841674465533,c
2021-11-24 00:00:00,207.83074343132284,
2021-11-24 03:30:00,245.53883817570386,
2021-11-24 04:00:00,243.4027479678789,
2021-11-24 06:00:00,167.1502070902061,
2021-11-24 08:00:00,195.0186988298865,
2021-11-24 10:30:00,207.58047201512636,
2021-11-24 11:00:00,215.43329584131243,
2021-11-24 23:59:59,258.16581421552473,c
2021-11-25 00:00:00,290.34218014570615,
2021-11-25 03:30:00,346.62295654113404,
2021-11-25 04:00:00,370.5524933846973,
2021-11-25 06:00:00,315.2877705660667,
2021-11-25 08:00:00,313.34935794697594,
2021-11-25 10:30:00,357.9133236948219,
2021-11-25 11:00:00,354.21604270320313,
2021-11-25 23:59:59,350.9302660064386,c
2021-11-26 00:00:00,165.2356335395525,
2021-11-26 03:30:00,176.73065322467482,
2021-11-26 04:00:00,203.78523164398393,
2021-11-26 06:00:00,271.571395347768,
2021-11-26 08:00:00,279.059051607077,
2021-11-26 10:30:00,254.29098385718316,
2021-11-26 11:00:00,246.27008166053383,
2021-11-26 23:59:59,164.20744658556032,w
2021-11-29 00:00:00,211.88827909775864,
2021-11-29 03:30:00,266.9088264666552,
2021-11-29 04:00:00,237.3925120304866,
2021-11-29 06:00:00,314.7829209027859,
2021-11-29 08:00:00,302.20608096581236,
2021-11-29 10:30:00,277.92020655895067,
2021-11-29 11:00:00,264.61182215502777,
2021-11-29 23:59:59,265.14728627216755,c
2021-11-30 00:00:00,199.3298842143031,
2021-11-30 03:30:00,229.75826911711556,
2021-11-30 04:00:00,157.7148842570041,
2021-11-30 06:00:00,116.14458640051089,
2021-11-30 08:00:00,104.91899950184325,
2021-11-30 10:30:00,145.24912048858823,
2021-11-30 11:00:00,22.248899892000736,
2021-11-30 23:59:59,-1.0399289079377922,e
2021-12-01 00:00:00,47.83072929944501,
2021-12-01 03:30:00,-54.957365306225256,
2021-12-01 04:00:00,-51.12215071995797,
2021-12-01 06:00:00,-18.960345453910122,
2021-12-01 08:00:00,-2.206118360034452,
2021-12-01 10:30:00,43.200417050815304,
2021-12-01 11:00:00,51.86928159860963,
2021-12-01 23:59:59,55.66322888574359,c
2021-12-02 00:00:00,-4.557770019114287,
2021-12-02 03:30:00,-27.994600087253275,
2021-12-02 04:00:00,-16.296922995077693,
2021-12-02 06:00:00,-47.019767854797465,
