date,EU_QUARTERLY_UW_2021_Q4,meta
2021-12-13 03:30:00,121.11925740100583,
2021-12-13 04:00:00,162.73563237676854,
2021-12-13 06:00:00,235.8455569346736,
2021-12-13 08:00:00,262.9133508062582,
2021-12-13 10:30:00,280.99141324080256,
2021-12-13 11:00:00,282.81402886371166,
2021-12-13 23:59:59,262.16245640967645,c
2021-12-14 00:00:00,298.8434041550281,
2021-12-14 03:30:00,318.46951670064414,
2021-12-14 04:00:00,293.1488424290428,
2021-12-14 06:00:00,322.14546871921084,
2021-12-14 08:00:00,318.80544164659,
2021-12-14 10:30:00,330.0226202602478,
2021-12-14 11:00:00,308.2617829129272,
2021-12-14 23:59:59,312.15398858212757,c
2021-12-15 00:00:00,240.98232219872807,
2021-12-15 03:30:00,290.7660896861237,
2021-12-15 04:00:00,334.08571004067676,
2021-12-15 06:00:00,339.0494089355834,
2021-12-15 08:00:00,340.2288608256656,
2021-12-15 10:30:00,351.65754037411966,
2021-12-15 11:00:00,338.553889335049,
2021-12-15 23:59:59,348.2757502498546,c
2021-12-16 00:00:00,379.07857714628744,
2021-12-16 03:30:00,323.7691488497296,
2021-12-16 04:00:00,323.9416176094917,
2021-12-16 06:00:00,382.1980463110169,
2021-12-16 08:00:00,441.3752108289027,
2021-12-16 10:30:00,520.7821559776378,
2021-12-16 11:00:00,523.1582920610897,
2021-12-16 23:59:59,495.7588528595402,c
2021-12-17 00:00:00,427.93466290487254,
2021-12-17 03:30:00,439.13869872411374,
2021-12-17 04:00:00,439.487883152882,
2021-12-17 06:00:00,375.6894205403505,
2021-12-17 08:00:00,400.416024146768,
2021-12-17 10:30:00,397.02998647442905,
2021-12-17 11:00:00,367.9917227696376,
2021-12-17 23:59:59,404.099120520709,e
2021-12-20 00:00:00,418.54216353374704,
2021-12-20 03:30:00,420.96336105620503,
2021-12-20 04:00:00,364.7389132002818,
2021-12-20 06:00:00,350.89269707887956,
2021-12-20 08:00:00,303.23788937132645,
2021-12-20 10:30:00,327.81699756951616,
2021-12-20 11:00:00,358.636871419048,
2021-12-20 23:59:59,362.2216363012235,c
2021-12-21 00:00:00,381.8891165062496,
2021-12-21 03:30:00,368.27950932296994,
2021-12-21 04:00:00,364.81969190835935,
2021-12-21 06:00:00,343.2183625311409,
2021-12-21 08:00:00,339.9354543346817,
2021-12-21 10:30:00,321.1145081917766,
2021-12-21 11:00:00,280.1269908102686,
2021-12-21 23:59:59,287.04711818644614,c
2021-12-22 00:00:00,246.57050971967487,
2021-12-22 03:30:00,278.29615821502307,
2021-12-22 04:00:00,268.1108525866757,
2021-12-22 06:00:00,294.14275591101114,
2021-12-22 08:00:00,284.25877998709007,
2021-12-22 10:30:00,239.257185029011,
2021-12-22 11:00:00,215.77858861779737,
2021-12-22 23:59:59,219.5225689065078,c
2021-12-23 00:00:00,255.28112082629787,
2021-12-23 03:30:00,172.37609049006892,
2021-12-23 04:00:00,200.02167752331775,
2021-12-23 06:00:00,221.47777254171524,
2021-12-23 08:00:00,217.24485269665888,
2021-12-23 10:30:00,196.19282338320704,
2021-12-23 11:00:00,197.2882195129123,
2021-12-23 23:59:59,178.46433387572097,c
2021-12-24 00:00:00,204.933124678671,
2021-12-24 03:30:00,184.09349595945127,
2021-12-24 04:00:00,183.30371101258174,
2021-12-24 06:00:00,211.37052441646824,
2021-12-24 08:00:00,211.37052441646824,
2021-12-24 10:30:00,211.37052441646824,
2021-12-24 11:00:00,211.37052441646824,
2021-12-24 23:59:59,218.87308431167435,w
2021-12-27 00:00:00,247.11061633057056,
2021-12-27 03:30:00,196.3090148083529,
2021-12-27 04:00:00,196.7848151909618,
2021-12-27 06:00:00,203.18328184727147,
2021-12-27 08:00:00,199.62525658424738,
2021-12-27 10:30:00,167.7823204025094,
2021-12-27 11:00:00,182.60070953338072,
2021-12-27 23:59:59,173.5395914290266,c
2021-12-28 00:00:00,173.02761534947422,
2021-12-28 03:30:00,192.56715431914813,
2021-12-28 04:00:00,190.07861397556394,
2021-12-28 06:00:00,259.37808358046595,
2021-12-28 08:00:00,258.58289334271444,
2021-12-28 10:30:00,230.39036054002963,
2021-12-28 11:00:00,256.3012175210688,
2021-12-28 23:59:59,240.0670186268751,c
2021-12-29 00:00:00,269.00702492630967,
2021-12-29 03:30:00,310.40269344858325,
2021-12-29 04:00:00,290.6359715351557,
2021-12-29 06:00:00,291.2173603263391,
2021-12-29 08:00:00,308.3910720003298,
2021-12-29 10:30:00,317.5041126341671,
2021-12-29 11:00:00,313.2955457233145,
2021-12-29 23:59:59,287.5590451877242,c
2021-12-30 00:00:00,317.11326510609524,
2021-12-30 03:30:00,318.17762500864865,
2021-12-30 04:00:00,295.20278234760735,
2021-12-30 06:00:00,291.2361107686445,
2021-12-30 08:00:00,314.584073628602,
2021-12-30 10:30:00,283.7867625802255,
2021-12-30 11:00:00,282.8260582865614,
2021-12-30 23:59:59,252.09880554513256,c
2021-12-31 00:00:00,208.69094488683345,
2021-12-31 03:30:00,270.4235011251294,
2021-12-31 04:00:00,246.11470898991456,
2021-12-31 06:00:00,244.7467926100992,
2021-12-31 08:00:00,244.7467926100992,
2021-12-31 10:30:00,244.7467926100992,
2021-12-31 11:00:00,244.7467926100992,
2021-12-31 23:59:59,205.2173635686247,w
2022-01-03 00:00:00,215.70165388191754,
2022-01-03 03:30:00,205.24086519232196,
2022-01-03 04:00:00,217.36575330699338,
2022-01-03 06:00:00,171.45641256596878,
2022-01-03 08:00:00,193.24361811160156,
2022-01-03 10:30:00,193.35454074444897,
2022-01-03 11:00:00,207.28265359908778,
2022-01-03 23:59:59,209.3639643230456,c
2022-01-04 00:00:00,231.8799214931762,
2022-01-04 03:30:00,154.82114470439933,
2022-01-04 04:00:00,139.16231807874715,
2022-01-04 06:00:00,123.63780928043434,
2022-01-04 08:00:00,119.71766510504563,
2022-01-04 10:30:00,61.64859969423014,
2022-01-04 11:00:00,57.404657517678515,
2022-01-04 23:59:59,60.01983134991906,c
2022-01-05 00:00:00,46.95704607988068,
2022-01-05 03:30:00,-6.524296428488242,
2022-01-05 04:00:00,-17.620551837312405,
2022-01-05 06:00:00,-32.04417016424486,
2022-01-05 08:00:00,-33.615136098457015,
2022-01-05 10:30:00,4.8589460273231,
2022-01-05 11:00:00,-4.248526270129332,
2022-01-05 23:59:59,-20.733152555094648,c
2022-01-06 00:00:00,22.391623064886062,
2022-01-06 03:30:00,-36.187757396191046,
2022-01-06 04:00:00,-61.71614879724689,
2022-01-06 06:00:00,-94.260704024794,
2022-01-06 08:00:00,-103.05836632842488,
2022-01-06 10:30:00,-129.21783127420076,
2022-01-06 11:00:00,-126.0192329052411,
2022-01-06 23:59:59,-124.06763475335674,c
2022-01-07 00:00:00,-153.34987833344235,
2022-01-07 03:30:00,-224.3701106556456,
2022-01-07 04:00:00,-207.3760808323426,
2022-01-07 06:00:00,-174.3883551799645,
2022-01-07 08:00:00,-164.81116553873403,
2022-01-07 10:30:00,-184.77620076079916,
2022-01-07 11:00:00,-156.08415576644643,
2022-01-07 23:59:59,-147.54638230430896,w
