date,FDN_2021_Q1,meta
2021-03-23 23:59:59,87.81943906847629,c
2021-03-24 00:00:00,86.74591884301212,
2021-03-24 10:00:00,84.03092375533693,
2021-03-24 10:30:00,86.84381064646956,
2021-03-24 12:00:00,57.773217291295126,
2021-03-24 13:30:00,41.058041587151294,
2021-03-24 15:00:00,27.78793273247193,
2021-03-24 15:30:30,27.78793273247193,
2021-03-24 23:59:59,32.214942352340955,c
2021-03-25 00:00:00,41.515994741360345,
2021-03-25 10:00:00,73.29126984404951,
2021-03-25 10:30:00,58.417535708774636,
2021-03-25 12:00:00,19.205018507264406,
2021-03-25 13:30:00,-6.990288509796942,
2021-03-25 15:00:00,-33.01791044037374,
2021-03-25 15:30:30,-33.01791044037374,
2021-03-25 23:59:59,-33.91928525836274,c
2021-03-26 00:00:00,-32.664840378255114,
2021-03-26 10:00:00,27.771938691877025,
2021-03-26 10:30:00,17.124724084912046,
2021-03-26 12:00:00,36.5005588173037,
2021-03-26 13:30:00,-16.168978630614216,
2021-03-26 15:00:00,-44.385876109113894,
2021-03-26 15:30:30,-44.385876109113894,
2021-03-26 23:59:59,-7.468563447516656,w
2021-03-29 00:00:00,-29.935454769162856,
2021-03-29 10:00:00,-31.523615834529394,
2021-03-29 10:30:00,-32.1041798326541,
2021-03-29 12:00:00,-31.730684095356875,
2021-03-29 13:30:00,-14.043953664402824,
2021-03-29 15:00:00,-33.689322720416165,
2021-03-29 15:30:30,-33.689322720416165,
2021-03-29 23:59:59,-48.79664185401923,c
2021-03-30 00:00:00,-50.16481392165639,
2021-03-30 10:00:00,-74.65854946587893,
2021-03-30 10:30:00,-60.74484653827445,
2021-03-30 12:00:00,-41.92155377645813,
2021-03-30 13:30:00,-22.229465020505636,
2021-03-30 15:00:00,-19.12308746775369,
2021-03-30 15:30:30,-19.12308746775369,
2021-03-30 23:59:59,-7.765702874051923,c
2021-03-31 00:00:00,-18.76347793405796,
2021-03-31 10:00:00,10.621253922367096,
2021-03-31 10:30:00,18.006749818665547,
2021-03-31 12:00:00,15.205696426134892,
2021-03-31 13:30:00,58.814031164923875,
2021-03-31 15:00:00,57.68453432205379,
2021-03-31 15:30:30,57.68453432205379,
2021-03-31 23:59:59,64.85534752983907,c
2021-04-01 00:00:00,91.1425111785969,
2021-04-01 10:00:00,24.51733885375937,
2021-04-01 10:30:00,12.062510058632895,
2021-04-01 12:00:00,8.54264743070853,
2021-04-01 13:30:00,1.6318566889316628,
2021-04-01 15:00:00,5.166341921585154,
2021-04-01 15:30:30,5.166341921585154,
2021-04-01 23:59:59,1.4964240310201369,c
2021-04-02 00:00:00,1.4964240310201369,
2021-04-02 10:00:00,1.4964240310201369,
2021-04-02 10:30:00,1.4964240310201369,
2021-04-02 12:00:00,1.4964240310201369,
2021-04-02 13:30:00,1.4964240310201369,
2021-04-02 15:00:00,1.4964240310201369,
2021-04-02 15:30:30,1.4964240310201369,
2021-04-02 23:59:59,1.4964240310201369,w
