date,PAR1_STAY_20210511,meta
2021-05-14 00:00:00,-48.17854093775347,
2021-05-14 10:00:00,-37.868667579763795,
2021-05-14 10:30:00,-34.11192039902339,
2021-05-14 12:00:00,-34.26375332791871,
2021-05-14 13:30:00,-31.601648442100057,
2021-05-14 15:00:00,-30.219731334286152,
2021-05-14 15:30:30,-30.219731334286152,
2021-05-14 23:59:59,-30.4924879202963,w
2021-05-17 00:00:00,-34.978433955986986,
2021-05-17 10:00:00,-35.30898368350043,
2021-05-17 10:30:00,-32.813801340619364,
2021-05-17 12:00:00,-31.268031162176868,
2021-05-17 13:30:00,-29.248439115720174,
2021-05-17 15:00:00,-27.987092082896652,
2021-05-17 15:30:30,-27.987092082896652,
2021-05-17 23:59:59,-24.98531526274199,c
2021-05-18 00:00:00,-21.8440425336981,
2021-05-18 10:00:00,-21.39827592325541,
2021-05-18 10:30:00,-22.86285652038623,
2021-05-18 12:00:00,-24.845061513376294,
2021-05-18 13:30:00,-23.719042590017494,
2021-05-18 15:00:00,-24.355718313461395,
2021-05-18 15:30:30,-24.355718313461395,
2021-05-18 23:59:59,-25.945653914011487,c
2021-05-19 00:00:00,-31.693243990185138,
2021-05-19 10:00:00,-33.23162401011707,
2021-05-19 10:30:00,-30.245250260475643,
2021-05-19 12:00:00,-29.601180371175076,
2021-05-19 13:30:00,-29.685067311531355,
2021-05-19 15:00:00,-34.958722142877164,
2021-05-19 15:30:30,-34.958722142877164,
2021-05-19 23:59:59,-33.29345207185116,c
2021-05-20 00:00:00,-34.487000536454445,
2021-05-20 10:00:00,-41.665882054187136,
2021-05-20 10:30:00,-44.29473805693574,
2021-05-20 12:00:00,-44.43071875085805,
2021-05-20 13:30:00,-43.03521931822611,
2021-05-20 15:00:00,-41.45736331943067,
2021-05-20 15:30:30,-41.45736331943067,
2021-05-20 23:59:59,-37.02070333173043,c
2021-05-21 00:00:00,-35.65277522165016,
2021-05-21 10:00:00,-32.78351624009761,
2021-05-21 10:30:00,-31.06799191679545,
2021-05-21 12:00:00,-30.262857466216545,
2021-05-21 13:30:00,-33.09517087881066,
2021-05-21 15:00:00,-31.107804256841177,
2021-05-21 15:30:30,-31.107804256841177,
2021-05-21 23:59:59,-33.8193262948505,w
2021-05-24 00:00:00,-30.545077278053697,
2021-05-24 10:00:00,-34.32803243401047,
2021-05-24 10:30:00,-37.12376235474663,
2021-05-24 12:00:00,-31.96170831273379,
2021-05-24 13:30:00,-28.38339984712782,
2021-05-24 15:00:00,-26.590198434170162,
2021-05-24 15:30:30,-26.590198434170162,
2021-05-24 23:59:59,-26.831571997926957,c
2021-05-25 00:00:00,-27.367782984015037,
2021-05-25 10:00:00,-26.378180717028258,
2021-05-25 10:30:00,-20.632076207134034,
2021-05-25 12:00:00,-19.41482710071834,
2021-05-25 13:30:00,-19.454321817552668,
2021-05-25 15:00:00,-21.088063942590708,
2021-05-25 15:30:30,-21.088063942590708,
2021-05-25 23:59:59,-22.97353378521261,c
2021-05-26 00:00:00,-25.922041644799165,
2021-05-26 10:00:00,-26.909169114121525,
2021-05-26 10:30:00,-23.71033339031419,
2021-05-26 12:00:00,-18.6033694831505,
2021-05-26 13:30:00,-17.63156939945607,
2021-05-26 15:00:00,-18.51060099155673,
2021-05-26 15:30:30,-18.51060099155673,
2021-05-26 23:59:59,-18.20349740054887,c
2021-05-27 00:00:00,-17.722662468898932,
2021-05-27 10:00:00,-18.326819204377074,
2021-05-27 10:30:00,-17.667544142243727,
2021-05-27 12:00:00,-17.356560451459984,
2021-05-27 13:30:00,-13.817720367488818,
2021-05-27 15:00:00,-8.220471207205478,
2021-05-27 15:30:30,-8.220471207205478,m
2021-05-27 23:59:59,-7.231420103357891,c
2021-05-28 00:00:00,-12.520929105127053,
2021-05-28 10:00:00,-10.659927425831938,
2021-05-28 10:30:00,-12.424656952267,
2021-05-28 12:00:00,-11.824799760086094,
2021-05-28 13:30:00,-6.749665067978469,
2021-05-28 15:00:00,-5.02628623353371,
2021-05-28 15:30:30,-5.02628623353371,
2021-05-28 23:59:59,-4.248685004003249,w
2021-05-31 00:00:00,-4.248685004003249,
2021-05-31 10:00:00,-4.248685004003249,
2021-05-31 10:30:00,-4.248685004003249,
2021-05-31 12:00:00,-4.248685004003249,
2021-05-31 13:30:00,-4.248685004003249,
2021-05-31 15:00:00,-4.248685004003249,
2021-05-31 15:30:30,-4.248685004003249,
2021-05-31 23:59:59,-4.248685004003249,c
2021-06-01 00:00:00,-3.769746747304481,
2021-06-01 10:00:00,-6.281639918340545,
2021-06-01 10:30:00,-4.7091811690306145,
2021-06-01 12:00:00,-1.9617976384704434,
2021-06-01 13:30:00,2.3243544849871682,
2021-06-01 15:00:00,-1.1567423875141003,
2021-06-01 15:30:30,-1.1567423875141003,
2021-06-01 23:59:59,0.22228725702771612,c
2021-06-02 00:00:00,-1.1453055899566777,
2021-06-02 10:00:00,-5.202070438877541,
2021-06-02 10:30:00,-4.714592213621842,
2021-06-02 12:00:00,2.5048268817352266,
2021-06-02 13:30:00,2.465515741063058,
2021-06-02 15:00:00,4.4017437949469524,
2021-06-02 15:30:30,4.4017437949469524,
2021-06-02 23:59:59,2.5410402025548535,c
2021-06-03 00:00:00,0.6924736999686445,
2021-06-03 10:00:00,2.0504145144672066,
2021-06-03 10:30:00,4.457961770552686,
2021-06-03 12:00:00,8.608418130389964,
2021-06-03 13:30:00,6.6157607937308285,
2021-06-03 15:00:00,5.0385600246056015,
2021-06-03 15:30:30,5.0385600246056015,
2021-06-03 23:59:59,6.750493457976347,c
2021-06-04 00:00:00,6.467394321370307,
2021-06-04 10:00:00,3.7960820058426634,
2021-06-04 10:30:00,0.6059222925132417,
2021-06-04 12:00:00,-0.00831896326462811,
2021-06-04 13:30:00,2.159384837625339,
2021-06-04 15:00:00,-0.6319266787788251,
2021-06-04 15:30:30,-0.6319266787788251,
2021-06-04 23:59:59,0.0,a
2021-06-07 00:00:00,4.327272306562861,
2021-06-07 10:00:00,-0.2825294169969652,
2021-06-07 10:30:00,3.5106339991045843,
2021-06-07 12:00:00,6.565080077291071,
2021-06-07 13:30:00,5.693889012134321,
2021-06-07 15:00:00,0.3990496086610449,
2021-06-07 15:30:30,0.3990496086610449,
2021-06-07 23:59:59,-0.9684112149529653,c
2021-06-08 00:00:00,-3.4327776517872053,
2021-06-08 10:00:00,-4.500378679393634,
2021-06-08 10:30:00,0.6790306868914513,
2021-06-08 12:00:00,-0.5138591778296018,
2021-06-08 13:30:00,-0.45567241046671825,
2021-06-08 15:00:00,-0.8476546007978243,
2021-06-08 15:30:30,-0.8476546007978243,
2021-06-08 23:59:59,-3.109496873316573,c
2021-06-09 00:00:00,-10.334489560872157,
2021-06-09 10:00:00,-15.223579792261532,
2021-06-09 10:30:00,-12.670513817930754,
2021-06-09 12:00:00,-12.73800631948481,
2021-06-09 13:30:00,-10.743850802667097,
2021-06-09 15:00:00,-8.901661812785008,
2021-06-09 15:30:30,-8.901661812785008,
2021-06-09 23:59:59,-10.805795120182822,c
