date,AS_TOPIX_2023_Q1,meta
2023-01-06 00:00:00,-63.654448363108315,
2023-01-06 01:00:00,-67.69742375439256,
2023-01-06 02:30:00,-67.69742375439256,
2023-01-06 03:00:00,-67.69742375439256,
2023-01-06 18:30:00,-67.69742375439256,
2023-01-06 20:00:00,-67.69742375439256,
2023-01-06 23:00:00,-67.69742375439256,
2023-01-06 23:59:59,-71.55910430740158,w
2023-01-09 00:00:00,-71.55910430740158,
2023-01-09 01:00:00,-71.55910430740158,
2023-01-09 02:30:00,-71.55910430740158,
2023-01-09 03:00:00,-71.55910430740158,
2023-01-09 18:30:00,-71.55910430740158,
2023-01-09 20:00:00,-56.01354139849019,
2023-01-09 23:00:00,-51.564268901147614,
2023-01-09 23:59:59,-51.564268901147614,c
2023-01-10 00:00:00,-45.452532641947585,
2023-01-10 01:00:00,-53.90603622291184,
2023-01-10 02:30:00,-53.90603622291184,
2023-01-10 03:00:00,-53.90603622291184,
2023-01-10 18:30:00,-53.90603622291184,
2023-01-10 20:00:00,-60.712476235080146,
2023-01-10 23:00:00,-65.53384441993552,
2023-01-10 23:59:59,-54.57237069462445,c
2023-01-11 00:00:00,-53.06297212062367,
2023-01-11 01:00:00,-40.713363229636286,
2023-01-11 02:30:00,-40.713363229636286,
2023-01-11 03:00:00,-40.713363229636286,
2023-01-11 18:30:00,-40.713363229636286,
2023-01-11 20:00:00,-27.871555532574234,
2023-01-11 23:00:00,-6.518814944126632,
2023-01-11 23:59:59,0.0,a
2023-01-12 00:00:00,-0.3420898545430191,
2023-01-12 01:00:00,-10.152722421387637,
2023-01-12 02:30:00,-10.152722421387637,
2023-01-12 03:00:00,-10.152722421387637,
2023-01-12 18:30:00,-10.152722421387637,
2023-01-12 20:00:00,-20.68119283387597,
2023-01-12 23:00:00,-37.126541457241785,
2023-01-12 23:59:59,-21.200471022026363,c
2023-01-13 00:00:00,-9.363019038050993,
2023-01-13 01:00:00,-20.029687035525114,
2023-01-13 02:30:00,-20.029687035525114,
2023-01-13 03:00:00,-20.029687035525114,
2023-01-13 18:30:00,-20.029687035525114,
2023-01-13 20:00:00,-20.029687035525114,
2023-01-13 23:00:00,-20.029687035525114,
2023-01-13 23:59:59,-19.14886734609712,w
2023-01-16 00:00:00,-25.075208069413975,
2023-01-16 01:00:00,-27.552052768763588,
2023-01-16 02:30:00,-27.552052768763588,
2023-01-16 03:00:00,-27.552052768763588,
2023-01-16 18:30:00,-27.552052768763588,
2023-01-16 20:00:00,-28.856597757040618,
2023-01-16 23:00:00,-14.002624117112987,
2023-01-16 23:59:59,-14.80479069340538,c
0,-14.80479069340538,
0,-14.80479069340538,
0,-14.80479069340538,
0,-14.80479069340538,
0,-14.80479069340538,
0,-14.80479069340538,
0,-14.80479069340538,
0,-14.80479069340538,
0,-14.80479069340538,
0,-14.80479069340538,
0,-14.80479069340538,
0,-14.80479069340538,
0,-14.80479069340538,
0,-14.80479069340538,
0,-14.80479069340538,
0,-14.80479069340538,
2023-01-17 00:00:00,-17.131644534159705,
2023-01-17 01:00:00,-22.715424092090984,
2023-01-17 02:30:00,-22.715424092090984,
2023-01-17 03:00:00,-22.715424092090984,
2023-01-17 18:30:00,-22.715424092090984,
2023-01-17 20:00:00,-27.87087210755857,
2023-01-17 23:00:00,-19.328512332560763,
2023-01-17 23:59:59,-12.381569288795902,c
2023-01-18 00:00:00,-20.314112300067563,
2023-01-18 01:00:00,-14.565055025272102,
2023-01-18 02:30:00,-14.565055025272102,
2023-01-18 03:00:00,-14.565055025272102,
2023-01-18 18:30:00,-14.565055025272102,
2023-01-18 20:00:00,8.074066668301384,
2023-01-18 23:00:00,-28.615209504087318,
2023-01-18 23:59:59,-43.90507924984905,c
2023-01-19 00:00:00,-47.51709965095898,
2023-01-19 01:00:00,-45.90606835427246,
2023-01-19 02:30:00,-45.90606835427246,
2023-01-19 03:00:00,-45.90606835427246,
2023-01-19 18:30:00,-45.90606835427246,
2023-01-19 20:00:00,-83.06006504547503,
2023-01-19 23:00:00,-77.38972722285627,
2023-01-19 23:59:59,-73.32069830834763,c
2023-01-20 00:00:00,-62.832514777810445,
2023-01-20 01:00:00,-63.11642152410144,
2023-01-20 02:30:00,-63.11642152410144,
2023-01-20 03:00:00,-63.11642152410144,
2023-01-20 18:30:00,-63.11642152410144,
2023-01-20 20:00:00,-63.11642152410144,
2023-01-20 23:00:00,-63.11642152410144,
2023-01-20 23:59:59,-65.08451812461686,w
2023-01-23 00:00:00,-61.251405748867626,
2023-01-23 01:00:00,-63.40523670885972,
2023-01-23 02:30:00,-63.40523670885972,
2023-01-23 03:00:00,-63.40523670885972,
2023-01-23 18:30:00,-63.40523670885972,
2023-01-23 20:00:00,-50.52029990583452,
2023-01-23 23:00:00,-54.32832946377488,
2023-01-23 23:59:59,-58.02000071190497,c
2023-01-24 00:00:00,-60.900109261090904,
2023-01-24 01:00:00,-63.946853524453275,
2023-01-24 02:30:00,-63.946853524453275,
2023-01-24 03:00:00,-63.946853524453275,
2023-01-24 18:30:00,-63.946853524453275,
2023-01-24 20:00:00,-58.04491215633419,
2023-01-24 23:00:00,-70.76502381553263,
2023-01-24 23:59:59,-78.15958753219496,c
2023-01-25 00:00:00,-77.87867085878594,
2023-01-25 01:00:00,-84.22562660553382,
2023-01-25 02:30:00,-84.22562660553382,
2023-01-25 03:00:00,-84.22562660553382,
2023-01-25 18:30:00,-84.22562660553382,
2023-01-25 20:00:00,-71.60247040420478,
2023-01-25 23:00:00,-66.23867043884462,
2023-01-25 23:59:59,-77.82298800443124,c
2023-01-26 00:00:00,-88.08894294725877,
2023-01-26 01:00:00,-85.66176154128931,
2023-01-26 02:30:00,-85.66176154128931,
2023-01-26 03:00:00,-85.66176154128931,
2023-01-26 18:30:00,-85.66176154128931,
2023-01-26 20:00:00,-104.76435245821057,
2023-01-26 23:00:00,-77.32740719529448,
2023-01-26 23:59:59,-88.08220644549937,c
2023-01-27 00:00:00,-76.98854601415104,
2023-01-27 01:00:00,-99.46795880448968,
2023-01-27 02:30:00,-99.46795880448968,
2023-01-27 03:00:00,-99.46795880448968,
2023-01-27 18:30:00,-99.46795880448968,
2023-01-27 20:00:00,-99.46795880448968,
2023-01-27 23:00:00,-99.46795880448968,
2023-01-27 23:59:59,-100.52016144724888,w
2023-01-30 00:00:00,-113.12870067440491,
2023-01-30 01:00:00,-106.69678302299559,
2023-01-30 02:30:00,-106.69678302299559,
2023-01-30 03:00:00,-106.69678302299559,
2023-01-30 18:30:00,-106.69678302299559,
2023-01-30 20:00:00,-89.36156712941539,
2023-01-30 23:00:00,-81.13455957261209,
2023-01-30 23:59:59,-81.25828089575685,e
2023-01-31 00:00:00,-87.12566774065323,
2023-01-31 01:00:00,-83.44635149463505,
2023-01-31 02:30:00,-83.44635149463505,
2023-01-31 03:00:00,-83.44635149463505,
2023-01-31 18:30:00,-83.44635149463505,
2023-01-31 20:00:00,-69.76912666878815,
2023-01-31 23:00:00,-37.88292951376553,
2023-01-31 23:59:59,-33.06791088233547,c
2023-02-01 00:00:00,-17.914432197906763,
2023-02-01 01:00:00,-8.501508959929822,
2023-02-01 02:30:00,-8.501508959929822,
2023-02-01 03:00:00,-8.501508959929822,
2023-02-01 18:30:00,-8.501508959929822,
2023-02-01 20:00:00,-27.034280320768573,
2023-02-01 23:00:00,-1.6729180633773808,
2023-02-01 23:59:59,-2.1308318082521964,c
2023-02-02 00:00:00,-5.572825373823889,
2023-02-02 01:00:00,-7.458774786298704,
2023-02-02 02:30:00,-7.458774786298704,
2023-02-02 03:00:00,-7.458774786298704,
2023-02-02 18:30:00,-7.458774786298704,
2023-02-02 20:00:00,-17.820604523411816,
2023-02-02 23:00:00,-1.790927427277552,
2023-02-02 23:59:59,10.86870026741235,c
2023-02-03 00:00:00,11.840183164883172,
2023-02-03 01:00:00,2.651438427319988,
2023-02-03 02:30:00,2.651438427319988,
2023-02-03 03:00:00,2.651438427319988,
2023-02-03 18:30:00,2.651438427319988,
2023-02-03 20:00:00,2.651438427319988,
2023-02-03 23:00:00,2.651438427319988,
2023-02-03 23:59:59,3.170608493840348,w
2023-02-06 00:00:00,5.164715810734492,
2023-02-06 01:00:00,3.9416197179905907,
2023-02-06 02:30:00,3.9416197179905907,
2023-02-06 03:00:00,3.9416197179905907,
2023-02-06 18:30:00,3.9416197179905907,
2023-02-06 20:00:00,13.694139723871729,
2023-02-06 23:00:00,-0.8783869115642347,
2023-02-06 23:59:59,3.0706911517143567,c
2023-02-07 00:00:00,2.441991688904693,
2023-02-07 01:00:00,7.595211114405174,
2023-02-07 02:30:00,7.595211114405174,
2023-02-07 03:00:00,7.595211114405174,
2023-02-07 18:30:00,7.595211114405174,
2023-02-07 20:00:00,9.002344081240551,
2023-02-07 23:00:00,36.82013013001966,
2023-02-07 23:59:59,41.38189852100362,c
2023-02-08 00:00:00,48.01889482398491,
2023-02-08 01:00:00,43.791515464974,
2023-02-08 02:30:00,43.791515464974,
2023-02-08 03:00:00,43.791515464974,
2023-02-08 18:30:00,43.791515464974,
2023-02-08 20:00:00,48.46447786603551,
2023-02-08 23:00:00,52.59107869167758,
2023-02-08 23:59:59,57.8003690691354,c
2023-02-09 00:00:00,47.39259603013414,
2023-02-09 01:00:00,49.48940384973207,
2023-02-09 02:30:00,49.48940384973207,
2023-02-09 03:00:00,49.48940384973207,
2023-02-09 18:30:00,49.48940384973207,
2023-02-09 20:00:00,66.70835695010595,
2023-02-09 23:00:00,67.8352984793056,
2023-02-09 23:59:59,64.15986835149351,c
2023-02-10 00:00:00,70.47829257120219,
2023-02-10 01:00:00,71.55382340988024,
2023-02-10 02:30:00,71.55382340988024,
2023-02-10 03:00:00,71.55382340988024,
2023-02-10 18:30:00,71.55382340988024,
2023-02-10 20:00:00,71.55382340988024,
2023-02-10 23:00:00,71.55382340988024,
2023-02-10 23:59:59,71.33865315301307,w
2023-02-13 00:00:00,68.95680881434112,
2023-02-13 01:00:00,55.7870190293566,
2023-02-13 02:30:00,55.7870190293566,
