date,FTCS_2022_Q2,meta
2022-04-26 12:00:00,-1.7525594257348303,
2022-04-26 13:30:00,-8.98067484723046,
2022-04-26 15:00:00,-7.472087103208452,
2022-04-26 15:30:30,-7.472087103208452,
2022-04-26 23:59:59,-2.379155760673825,c
2022-04-27 00:00:00,-7.934712290508571,
2022-04-27 10:00:00,-20.389813074282785,
2022-04-27 10:30:00,-16.654623889358646,
2022-04-27 12:00:00,-10.095587904351135,
2022-04-27 13:30:00,-8.181452992971458,
2022-04-27 15:00:00,-0.8251151786628839,
2022-04-27 15:30:30,-0.8251151786628839,
2022-04-27 23:59:59,-0.5490699388065536,c
2022-04-28 00:00:00,-21.99313663312131,
2022-04-28 10:00:00,-19.48069626876446,
2022-04-28 10:30:00,-21.99123384625591,
2022-04-28 12:00:00,-32.425325917291644,
2022-04-28 13:30:00,-36.570858873011105,
2022-04-28 15:00:00,-32.475615878026616,
2022-04-28 15:30:30,-32.475615878026616,
2022-04-28 23:59:59,-28.367248214794728,c
