date,EU_MSCI_DM_MIG_2023_Q1,meta
2023-02-08 03:30:00,91.94008380812696,
2023-02-08 04:00:00,69.02299670366024,
2023-02-08 06:00:00,73.3393595800462,
2023-02-08 08:00:00,72.86032531216097,
2023-02-08 10:30:00,10.249865471064584,
2023-02-08 11:00:00,19.49152340218493,
2023-02-08 23:59:59,39.17999648782523,c
2023-02-09 00:00:00,29.470971413716153,
2023-02-09 03:30:00,28.59881943320016,
2023-02-09 04:00:00,17.112238880012907,
2023-02-09 06:00:00,31.6717894466428,
2023-02-09 08:00:00,33.87442396654514,
2023-02-09 10:30:00,12.417425536192663,
2023-02-09 11:00:00,11.893161916377476,
2023-02-09 23:59:59,0.0,a
2023-02-10 00:00:00,6.763376446303955,
2023-02-10 03:30:00,-31.489754319047755,
2023-02-10 04:00:00,-32.82701545885994,
2023-02-10 06:00:00,19.45868424080259,
2023-02-10 08:00:00,39.36147673609085,
2023-02-10 10:30:00,48.60150022564888,
2023-02-10 11:00:00,50.93135667082123,
2023-02-10 23:59:59,49.026255612439904,w
2023-02-13 00:00:00,-0.32766056512549113,
2023-02-13 03:30:00,43.56982187600919,
2023-02-13 04:00:00,58.340967307577,
2023-02-13 06:00:00,63.18612024003737,
2023-02-13 08:00:00,81.1606236197623,
2023-02-13 10:30:00,97.72983377166568,
2023-02-13 11:00:00,81.94581689718402,
2023-02-13 23:59:59,77.03432049826449,c
2023-02-14 00:00:00,90.16723246517755,
2023-02-14 03:30:00,63.60932979868943,
2023-02-14 04:00:00,67.37320329287768,
2023-02-14 06:00:00,91.00954676984863,
2023-02-14 08:00:00,58.30658701987171,
2023-02-14 10:30:00,64.27495041623145,
2023-02-14 11:00:00,66.90077588140957,
2023-02-14 23:59:59,96.31799985252155,c
0,96.31799985252155,
0,96.31799985252155,
0,96.31799985252155,
0,96.31799985252155,
0,96.31799985252155,
0,96.31799985252155,
0,96.31799985252155,
0,96.31799985252155,
0,96.31799985252155,
0,96.31799985252155,
0,96.31799985252155,
0,96.31799985252155,
0,96.31799985252155,
0,96.31799985252155,
0,96.31799985252155,
0,96.31799985252155,
0,96.31799985252155,
0,96.31799985252155,
0,96.31799985252155,
0,96.31799985252155,
0,96.31799985252155,
0,96.31799985252155,
0,96.31799985252155,
0,96.31799985252155,
2023-02-15 00:00:00,65.89372820622255,
2023-02-15 03:30:00,98.80130721309828,
2023-02-15 04:00:00,89.1271862145861,
2023-02-15 06:00:00,126.10088684099071,
2023-02-15 08:00:00,148.9284369170317,
2023-02-15 10:30:00,144.35909346226936,
2023-02-15 11:00:00,153.63702459923545,
2023-02-15 23:59:59,142.77430646734538,c
2023-02-16 00:00:00,154.12778204732533,
2023-02-16 03:30:00,126.53905396055498,
2023-02-16 04:00:00,126.7717658714216,
2023-02-16 06:00:00,121.99058492396478,
2023-02-16 08:00:00,120.92682691675103,
2023-02-16 10:30:00,89.39460011107116,
2023-02-16 11:00:00,96.39606998789387,
2023-02-16 23:59:59,112.7002614554483,c
2023-02-17 00:00:00,47.15359761944403,
2023-02-17 03:30:00,93.89582239732985,
2023-02-17 04:00:00,95.13990119805965,
2023-02-17 06:00:00,69.38052871897779,
2023-02-17 08:00:00,-1.1874533045909246,
2023-02-17 10:30:00,-69.54681263000376,
2023-02-17 11:00:00,-73.11061995211764,
2023-02-17 23:59:59,-38.409684951784506,w
2023-02-20 00:00:00,25.536263988427947,
2023-02-20 03:30:00,-43.010311520474225,
2023-02-20 04:00:00,-64.1313079657526,
2023-02-20 06:00:00,-27.369253062047207,
2023-02-20 08:00:00,-30.62915237575583,
2023-02-20 10:30:00,-18.870333270186954,
2023-02-20 11:00:00,-16.03562747329788,
2023-02-20 23:59:59,-34.16992649573181,c
2023-02-21 00:00:00,7.51287869154104,
2023-02-21 03:30:00,6.17691596253243,
