date,AS_MSCI_EM_REST_STAY_2022_Q4,meta
2022-11-08 01:00:00,-318.97004487092363,
2022-11-08 02:30:00,-321.04446210376045,
2022-11-08 03:00:00,-322.56746593795924,
2022-11-08 18:30:00,-322.56746593795924,
2022-11-08 20:00:00,-323.1643429158785,
2022-11-08 23:00:00,-295.98481211554827,
2022-11-08 23:59:59,-330.1005761594979,c
2022-11-09 00:00:00,-314.72580682131957,
2022-11-09 01:00:00,-297.76749842765093,
2022-11-09 02:30:00,-245.27895947477282,
2022-11-09 03:00:00,-249.85994977572045,
2022-11-09 18:30:00,-249.85994977572045,
2022-11-09 20:00:00,-78.05798097023762,
2022-11-09 23:00:00,-199.47938463965693,
2022-11-09 23:59:59,-232.41530255668567,c
2022-11-10 00:00:00,-251.08033106107723,
2022-11-10 01:00:00,-242.1586258291245,
2022-11-10 02:30:00,-198.28570134141046,
2022-11-10 03:00:00,-198.19492057871958,
2022-11-10 18:30:00,-198.19492057871958,
2022-11-10 20:00:00,-65.55923674442874,
2022-11-10 23:00:00,-41.55167465172599,
2022-11-10 23:59:59,0.0,a
2022-11-11 00:00:00,80.54061884238672,
2022-11-11 01:00:00,146.86564675588943,
2022-11-11 02:30:00,136.94603558838025,
2022-11-11 03:00:00,137.29087310365412,
2022-11-11 18:30:00,137.29087310365412,
2022-11-11 20:00:00,137.29087310365412,
2022-11-11 23:00:00,137.29087310365412,
2022-11-11 23:59:59,-6.674757570052861,w
2022-11-14 00:00:00,-196.52826460301094,
2022-11-14 01:00:00,-263.51286386843276,
2022-11-14 02:30:00,-277.39765418184106,
2022-11-14 03:00:00,-273.8910747703003,
2022-11-14 18:30:00,-273.8910747703003,
2022-11-14 20:00:00,-439.6985515917795,
2022-11-14 23:00:00,-374.72271050805193,
2022-11-14 23:59:59,-296.70701620646287,c
2022-11-15 00:00:00,-289.76020190683994,
2022-11-15 01:00:00,-231.84963683669048,
2022-11-15 02:30:00,-233.05435794902314,
2022-11-15 03:00:00,-235.1467799554439,
2022-11-15 18:30:00,-235.1467799554439,
2022-11-15 20:00:00,-412.3283565459915,
2022-11-15 23:00:00,-272.73948671433027,
2022-11-15 23:59:59,-327.513421633229,c
0,-327.513421633229,
0,-327.513421633229,
0,-327.513421633229,
0,-327.513421633229,
0,-327.513421633229,
0,-327.513421633229,
0,-327.513421633229,
0,-327.513421633229,
0,-327.513421633229,
0,-327.513421633229,
0,-327.513421633229,
0,-327.513421633229,
0,-327.513421633229,
0,-327.513421633229,
0,-327.513421633229,
0,-327.513421633229,
2022-11-16 00:00:00,-306.8062022633476,
2022-11-16 01:00:00,-272.2475698148837,
2022-11-16 02:30:00,-279.7589934707876,
2022-11-16 03:00:00,-280.6190929062286,
2022-11-16 18:30:00,-280.6190929062286,
2022-11-16 20:00:00,-280.6190929062286,
2022-11-16 23:00:00,-221.7571557226056,
2022-11-16 23:59:59,-208.69282958831536,c
2022-11-17 00:00:00,-221.47880880138655,
2022-11-17 01:00:00,-214.77666496953316,
2022-11-17 02:30:00,-225.45352474346782,
2022-11-17 03:00:00,-223.02548900946113,
2022-11-17 18:30:00,-223.02548900946113,
2022-11-17 20:00:00,-207.12071447785547,
2022-11-17 23:00:00,-149.13799050884427,
2022-11-17 23:59:59,-155.59992677600258,c
2022-11-18 00:00:00,-148.8784816532252,
2022-11-18 01:00:00,-153.5774647105809,
2022-11-18 02:30:00,-186.12548447571498,
2022-11-18 03:00:00,-185.50509257649537,
2022-11-18 18:30:00,-185.50509257649537,
2022-11-18 20:00:00,-185.50509257649537,
2022-11-18 23:00:00,-185.50509257649537,
2022-11-18 23:59:59,-200.50016250412045,w
2022-11-21 00:00:00,-456.37698695021027,
2022-11-21 01:00:00,-465.84107969576417,
2022-11-21 02:30:00,-481.446273363847,
2022-11-21 03:00:00,-478.6103077984444,
2022-11-21 18:30:00,-478.6103077984444,
2022-11-21 20:00:00,-488.1436531813897,
2022-11-21 23:00:00,-435.12764561557105,
