date,EU_MSCI_MOM_2022_Q2,meta
2022-05-20 10:30:00,29.81684576777252,
2022-05-20 11:00:00,48.156799023546,
2022-05-20 23:59:59,47.29099744887549,w
2022-05-23 00:00:00,17.868880871778174,
2022-05-23 03:30:00,26.713688172170805,
2022-05-23 04:00:00,34.888255568725526,
2022-05-23 06:00:00,43.44738493541786,
2022-05-23 08:00:00,32.4578078098275,
2022-05-23 10:30:00,57.898244723259495,
2022-05-23 11:00:00,55.518702557521465,
2022-05-23 23:59:59,37.79978398456774,c
2022-05-24 00:00:00,45.90479362024121,
2022-05-24 03:30:00,41.84024305449816,
2022-05-24 04:00:00,49.51278196357612,
2022-05-24 06:00:00,38.098239208177574,
2022-05-24 08:00:00,26.49751006016959,
2022-05-24 10:30:00,70.20506890605816,
2022-05-24 11:00:00,81.57682119367269,
2022-05-24 23:59:59,103.81339010941542,c
0,103.81339010941542,
0,103.81339010941542,
0,103.81339010941542,
0,103.81339010941542,
0,103.81339010941542,
0,103.81339010941542,
0,103.81339010941542,
0,103.81339010941542,
0,103.81339010941542,
0,103.81339010941542,
0,103.81339010941542,
0,103.81339010941542,
0,103.81339010941542,
0,103.81339010941542,
0,103.81339010941542,
0,103.81339010941542,
0,103.81339010941542,
0,103.81339010941542,
0,103.81339010941542,
0,103.81339010941542,
0,103.81339010941542,
0,103.81339010941542,
0,103.81339010941542,
0,103.81339010941542,
2022-05-25 00:00:00,91.9975191959627,
2022-05-25 03:30:00,139.45794214678904,
2022-05-25 04:00:00,138.94108583357547,
2022-05-25 06:00:00,154.6191618776652,
2022-05-25 08:00:00,174.27207745539658,
2022-05-25 10:30:00,133.70238552522028,
2022-05-25 11:00:00,131.38079019928045,
2022-05-25 23:59:59,125.84087649406433,c
2022-05-26 00:00:00,128.53184709805942,
2022-05-26 03:30:00,132.92763000466812,
2022-05-26 04:00:00,115.21079276833757,
2022-05-26 06:00:00,119.23336736790748,
2022-05-26 08:00:00,104.17150628966874,
2022-05-26 10:30:00,73.69219675320232,
2022-05-26 11:00:00,64.59030989484472,
2022-05-26 23:59:59,62.655210904658134,c
2022-05-27 00:00:00,27.19613165539681,
2022-05-27 03:30:00,-1.455309357493661,
2022-05-27 04:00:00,2.521279066600755,
2022-05-27 06:00:00,-33.83546838480697,
2022-05-27 08:00:00,-19.558398286567808,
2022-05-27 10:30:00,-59.11321962021657,
2022-05-27 11:00:00,-49.27866096912885,
2022-05-27 23:59:59,-67.69483145829713,w
2022-05-30 00:00:00,-112.26643385585248,
2022-05-30 03:30:00,-160.40890378424092,
2022-05-30 04:00:00,-191.49662527369003,
2022-05-30 06:00:00,-214.09578461429726,
2022-05-30 08:00:00,-205.59937830656452,
2022-05-30 10:30:00,-188.85062946257312,
2022-05-30 11:00:00,-198.8281516447745,
2022-05-30 23:59:59,-181.30360895655247,c
2022-05-31 00:00:00,-165.1358572327972,
2022-05-31 03:30:00,-118.28590786256962,
2022-05-31 04:00:00,-134.21273563731916,
2022-05-31 06:00:00,-130.40504798952713,
2022-05-31 08:00:00,-139.66356205783438,
2022-05-31 10:30:00,-123.37684587774743,
2022-05-31 11:00:00,-116.88486435170864,
2022-05-31 23:59:59,-111.16791924899485,e
2022-06-01 00:00:00,-122.30738170772781,
2022-06-01 03:30:00,-92.82859566921024,
2022-06-01 04:00:00,-92.21424343474587,
2022-06-01 06:00:00,-98.27297076603122,
2022-06-01 08:00:00,-110.25882605724655,
2022-06-01 10:30:00,-119.74771646602198,
2022-06-01 11:00:00,-118.2249051049481,
2022-06-01 23:59:59,-96.8733084074197,c
2022-06-02 00:00:00,-100.8739209751559,
2022-06-02 03:30:00,-131.17509736281238,
2022-06-02 04:00:00,-131.96419334793381,
2022-06-02 06:00:00,-121.12629170314256,
2022-06-02 08:00:00,-133.3607172887149,
2022-06-02 10:30:00,-147.21107005152533,
2022-06-02 11:00:00,-159.90737994775907,
2022-06-02 23:59:59,-158.6423240623767,c
2022-06-03 00:00:00,-178.93305119932688,
2022-06-03 03:30:00,-154.13236807950807,
2022-06-03 04:00:00,-153.80639311402376,
2022-06-03 06:00:00,-171.88181640854827,
2022-06-03 08:00:00,-151.23276679908383,
2022-06-03 10:30:00,-132.8007940823453,
2022-06-03 11:00:00,-124.1128122892967,
2022-06-03 23:59:59,-120.26144766533343,w
2022-06-06 00:00:00,-128.8802193905699,
2022-06-06 03:30:00,-167.46873554799265,
2022-06-06 04:00:00,-160.38816428935047,
2022-06-06 06:00:00,-152.50169544883886,
2022-06-06 08:00:00,-158.5829656872305,
2022-06-06 10:30:00,-173.93232921773665,
2022-06-06 11:00:00,-169.52734168385405,
2022-06-06 23:59:59,-169.53753397217326,c
2022-06-07 00:00:00,-150.37216556708825,
2022-06-07 03:30:00,-139.61088352884371,
2022-06-07 04:00:00,-150.04508199297857,
2022-06-07 06:00:00,-119.19944787957547,
2022-06-07 08:00:00,-119.26426894948975,
2022-06-07 10:30:00,-111.37568718990906,
2022-06-07 11:00:00,-124.17900394664025,
2022-06-07 23:59:59,-128.15908960605486,c
2022-06-08 00:00:00,-133.02865798632024,
2022-06-08 03:30:00,-124.64136638983064,
2022-06-08 04:00:00,-132.87503492079372,
2022-06-08 06:00:00,-139.94910878049689,
2022-06-08 08:00:00,-150.78360682977814,
2022-06-08 10:30:00,-140.20201944733753,
2022-06-08 11:00:00,-139.60554396548173,
2022-06-08 23:59:59,-131.79464566337344,c
2022-06-09 00:00:00,-111.64680414190525,
2022-06-09 03:30:00,-101.44989889433714,
2022-06-09 04:00:00,-118.56581047406542,
2022-06-09 06:00:00,-114.13596518366649,
2022-06-09 08:00:00,-112.95692544004464,
2022-06-09 10:30:00,-93.14653240396842,
2022-06-09 11:00:00,-92.47357148496508,
2022-06-09 23:59:59,-106.0360148554928,c
2022-06-10 00:00:00,-72.1207650516917,
2022-06-10 03:30:00,-66.25712031343005,
2022-06-10 04:00:00,-71.75371862848556,
2022-06-10 06:00:00,-107.23206825231182,
2022-06-10 08:00:00,-102.6065305847228,
2022-06-10 10:30:00,-50.871494918995495,
2022-06-10 11:00:00,-33.77015589155303,
2022-06-10 23:59:59,-16.20732251354093,w
2022-06-13 00:00:00,10.30769286005102,
2022-06-13 03:30:00,18.958420970177485,
2022-06-13 04:00:00,21.08370279864016,
2022-06-13 06:00:00,37.304507377985146,
2022-06-13 08:00:00,44.748259395766354,
2022-06-13 10:30:00,45.008793923645044,
2022-06-13 11:00:00,45.86709404416774,
2022-06-13 23:59:59,37.71581369880164,c
2022-06-14 00:00:00,0.9457275345612288,
2022-06-14 03:30:00,36.32264074037221,
2022-06-14 04:00:00,52.851337329000444,
2022-06-14 06:00:00,50.698908131831104,
2022-06-14 08:00:00,29.074381669407558,
2022-06-14 10:30:00,42.34144927812076,
2022-06-14 11:00:00,32.812805485904846,
2022-06-14 23:59:59,60.67682339000817,c
2022-06-15 00:00:00,16.312068499825727,
2022-06-15 03:30:00,22.115824785114455,
2022-06-15 04:00:00,24.078983256362335,
2022-06-15 06:00:00,37.96558220576526,
2022-06-15 08:00:00,36.22808065499294,
2022-06-15 10:30:00,48.364946745587304,
2022-06-15 11:00:00,33.7833358140706,
2022-06-15 23:59:59,7.858753841047019,c
2022-06-16 00:00:00,7.647544798679064,
2022-06-16 03:30:00,55.3810722794949,
2022-06-16 04:00:00,59.61224478638769,
2022-06-16 06:00:00,85.6383915910094,
2022-06-16 08:00:00,68.81365358086782,
2022-06-16 10:30:00,83.00909928515307,
2022-06-16 11:00:00,95.26900462391313,
2022-06-16 23:59:59,49.07266162425617,c
2022-06-17 00:00:00,36.42246885562918,
2022-06-17 03:30:00,5.955071266695313,
2022-06-17 04:00:00,13.480318931016654,
2022-06-17 06:00:00,5.775110301039149,
2022-06-17 08:00:00,32.26413106459313,
2022-06-17 10:30:00,25.306268999225722,
2022-06-17 11:00:00,9.386542728341283,
2022-06-17 23:59:59,10.44886639610786,w
2022-06-20 00:00:00,1.343322999302245,
2022-06-20 03:30:00,3.2159915655443,
2022-06-20 04:00:00,-22.877937380688536,
2022-06-20 06:00:00,32.32880814447594,
2022-06-20 08:00:00,50.54957367063935,
2022-06-20 10:30:00,43.63475992922713,
2022-06-20 11:00:00,48.6532698784672,
2022-06-20 23:59:59,50.002919772223095,c
2022-06-21 00:00:00,33.66631764735507,
2022-06-21 03:30:00,20.64970478287978,
2022-06-21 04:00:00,1.137495670835051,
2022-06-21 06:00:00,-0.3965331402409902,
2022-06-21 08:00:00,7.3735414644881985,
2022-06-21 10:30:00,-8.425723616737287,
2022-06-21 11:00:00,-7.892641191590656,
2022-06-21 23:59:59,-3.590093845721185,c
