date,AS_MSCI_EM_REST_MIG_2022_Q2,meta
2022-05-25 02:30:00,824.1594659520647,
2022-05-25 03:00:00,824.1594659520647,
2022-05-25 18:30:00,824.1594659520647,
2022-05-25 20:00:00,824.1594659520647,
2022-05-25 23:00:00,802.5028310665134,
2022-05-25 23:59:59,756.4262795299878,c
2022-05-26 00:00:00,762.0399772862124,
2022-05-26 01:00:00,686.5102231374599,
2022-05-26 02:30:00,686.5102231374599,
2022-05-26 03:00:00,686.5102231374599,
2022-05-26 18:30:00,686.5102231374599,
2022-05-26 20:00:00,686.5102231374599,
2022-05-26 23:00:00,634.6355135054573,
2022-05-26 23:59:59,676.4746671515427,c
2022-05-27 00:00:00,744.1430298413693,
2022-05-27 01:00:00,745.8337668820914,
2022-05-27 02:30:00,745.8337668820914,
2022-05-27 03:00:00,745.8337668820914,
2022-05-27 18:30:00,745.8337668820914,
2022-05-27 20:00:00,745.8337668820914,
2022-05-27 23:00:00,745.8337668820914,
2022-05-27 23:59:59,689.1584862715135,w
2022-05-30 00:00:00,837.7756703819218,
2022-05-30 01:00:00,861.3130133933478,
2022-05-30 02:30:00,861.3130133933478,
2022-05-30 03:00:00,861.3130133933478,
2022-05-30 18:30:00,861.3130133933478,
2022-05-30 20:00:00,861.3130133933478,
2022-05-30 23:00:00,848.1515422285652,
2022-05-30 23:59:59,753.419594372448,c
2022-05-31 00:00:00,767.9898417103609,
2022-05-31 01:00:00,825.4458716664549,
2022-05-31 02:30:00,825.4458716664549,
2022-05-31 03:00:00,825.4458716664549,
2022-05-31 18:30:00,825.4458716664549,
2022-05-31 20:00:00,825.4458716664549,
2022-05-31 23:00:00,720.5774480052669,
2022-05-31 23:59:59,710.1943275924332,e
2022-06-01 00:00:00,716.7358548540597,
2022-06-01 01:00:00,713.4975707393473,
2022-06-01 02:30:00,713.4975707393473,
2022-06-01 03:00:00,713.4975707393473,
2022-06-01 18:30:00,713.4975707393473,
2022-06-01 20:00:00,713.4975707393473,
