date,CGW_2022_Q2,meta
2022-05-05 13:30:00,773.2140137397182,
2022-05-05 15:00:00,838.3369268208753,
2022-05-05 15:30:30,838.3369268208753,
2022-05-05 23:59:59,824.0003111238011,c
2022-05-06 00:00:00,865.1855945945781,
2022-05-06 10:00:00,957.7476264439383,
2022-05-06 10:30:00,932.2709355371644,
2022-05-06 12:00:00,933.263378348528,
2022-05-06 13:30:00,903.1126918671234,
2022-05-06 15:00:00,970.5441888308051,
2022-05-06 15:30:30,970.5441888308051,
2022-05-06 23:59:59,929.9548834112611,w
