date,REMX_2022_Q4,meta
2022-12-23 13:30:00,-228.11756503316633,
2022-12-23 15:00:00,-275.0266133810493,
2022-12-23 15:30:30,-275.0266133810493,
2022-12-23 23:59:59,-268.55704493030055,w
2022-12-26 00:00:00,-268.55704493030055,
2022-12-26 10:00:00,-268.55704493030055,
2022-12-26 10:30:00,-268.55704493030055,
2022-12-26 12:00:00,-268.55704493030055,
2022-12-26 13:30:00,-268.55704493030055,
2022-12-26 15:00:00,-268.55704493030055,
2022-12-26 15:30:30,-268.55704493030055,
2022-12-26 23:59:59,-268.55704493030055,c
2022-12-27 00:00:00,-279.68731741274803,
2022-12-27 10:00:00,-289.47910222111034,
2022-12-27 10:30:00,-299.9855037395713,
2022-12-27 12:00:00,-246.9945731148382,
2022-12-27 13:30:00,-297.64815206509525,
2022-12-27 15:00:00,-283.5604688069409,
2022-12-27 15:30:30,-283.5604688069409,
2022-12-27 23:59:59,-249.7244786787719,c
2022-12-28 00:00:00,-271.55389682267537,
2022-12-28 10:00:00,-348.83177126581495,
2022-12-28 10:30:00,-326.8284588226087,
2022-12-28 12:00:00,-327.81286945315276,
2022-12-28 13:30:00,-298.7844233058148,
2022-12-28 15:00:00,-299.39967962616026,
2022-12-28 15:30:30,-299.39967962616026,
2022-12-28 23:59:59,-335.96335311201346,c
2022-12-29 00:00:00,-311.9838396060269,
2022-12-29 10:00:00,-328.2432907443266,
2022-12-29 10:30:00,-336.182689113287,
2022-12-29 12:00:00,-344.50226915654673,
2022-12-29 13:30:00,-356.3563155680084,
2022-12-29 15:00:00,-374.1334222186068,
2022-12-29 15:30:30,-374.1334222186068,
2022-12-29 23:59:59,-372.94424874704043,c
2022-12-30 00:00:00,-365.6708587243147,
2022-12-30 10:00:00,-448.2487875535742,
2022-12-30 10:30:00,-447.04350679125537,
2022-12-30 12:00:00,-425.6857394904364,
2022-12-30 13:30:00,-423.4448652426115,
2022-12-30 15:00:00,-406.03457365929864,
2022-12-30 15:30:30,-406.03457365929864,
2022-12-30 23:59:59,-418.22422710390526,w
