date,AS_MSCI_FACT_INTL_2021_Q4,meta
2021-11-23 18:30:00,11.57459450374364,
2021-11-23 20:00:00,-9.964064863987574,
2021-11-23 23:00:00,-15.149194723236576,
2021-11-23 23:59:59,-16.723905466979886,c
0,-16.723905466979886,
0,-16.723905466979886,
0,-16.723905466979886,
0,-16.723905466979886,
0,-16.723905466979886,
0,-16.723905466979886,
0,-16.723905466979886,
0,-16.723905466979886,
0,-16.723905466979886,
0,-16.723905466979886,
0,-16.723905466979886,
0,-16.723905466979886,
0,-16.723905466979886,
0,-16.723905466979886,
0,-16.723905466979886,
0,-16.723905466979886,
0,-16.723905466979886,
0,-16.723905466979886,
0,-16.723905466979886,
0,-16.723905466979886,
0,-16.723905466979886,
0,-16.723905466979886,
0,-16.723905466979886,
0,-16.723905466979886,
2021-11-24 00:00:00,-9.91137892702642,
2021-11-24 01:00:00,-7.670932702484322,
2021-11-24 02:30:00,-9.631967819628755,
2021-11-24 03:00:00,-10.950341496428393,
2021-11-24 18:30:00,-9.987969501911493,
2021-11-24 20:00:00,-10.570135339182173,
2021-11-24 23:00:00,-8.705721368573734,
2021-11-24 23:59:59,-14.119609737994551,c
2021-11-25 00:00:00,-17.841239715352742,
2021-11-25 01:00:00,-21.15117862200401,
2021-11-25 02:30:00,-19.414721937927197,
2021-11-25 03:00:00,-19.71992775742939,
2021-11-25 18:30:00,-20.586833246487288,
2021-11-25 20:00:00,-17.711012125111324,
2021-11-25 23:00:00,-25.24991039283242,
2021-11-25 23:59:59,-24.13277661832666,c
2021-11-26 00:00:00,-11.533138482219613,
2021-11-26 01:00:00,-10.80013690094728,
2021-11-26 02:30:00,-13.045606080252014,
2021-11-26 03:00:00,-13.571967553595925,
2021-11-26 18:30:00,-13.571967553595925,
2021-11-26 20:00:00,-13.571967553595925,
2021-11-26 23:00:00,-13.571967553595925,
2021-11-26 23:59:59,-15.40329742685941,w
2021-11-29 00:00:00,-21.51967798386255,
2021-11-29 01:00:00,-26.521223297938434,
2021-11-29 02:30:00,-26.483924641310637,
2021-11-29 03:00:00,-28.537835203757993,
2021-11-29 18:30:00,-32.60885106456561,
2021-11-29 20:00:00,-60.60524691137255,
2021-11-29 23:00:00,-34.95636190848228,
2021-11-29 23:59:59,-25.088674924328984,c
2021-11-30 00:00:00,-15.104493352429472,
2021-11-30 01:00:00,-56.742523006970146,
2021-11-30 02:30:00,-52.452177917734275,
2021-11-30 03:00:00,-52.46921276784536,
2021-11-30 18:30:00,-61.28578453701505,
2021-11-30 20:00:00,-65.1318219235963,
2021-11-30 23:00:00,-67.28684359722041,
2021-11-30 23:59:59,-76.11338013505383,e
2021-12-01 00:00:00,-63.491963268146264,
2021-12-01 01:00:00,-61.58448343905275,
2021-12-01 02:30:00,-62.00506127528297,
2021-12-01 03:00:00,-61.71669617811028,
2021-12-01 18:30:00,-59.072191617850535,
2021-12-01 20:00:00,-73.38280144640373,
2021-12-01 23:00:00,-72.17026061045215,
2021-12-01 23:59:59,-67.25438324738553,c
2021-12-02 00:00:00,-65.21704366962189,
2021-12-02 01:00:00,-60.018507283908036,
2021-12-02 02:30:00,-60.69592811604406,
2021-12-02 03:00:00,-60.02116936455718,
2021-12-02 18:30:00,-55.39115502141789,
2021-12-02 20:00:00,-63.829630912959146,
2021-12-02 23:00:00,-46.265154418468285,
2021-12-02 23:59:59,-50.7233691617605,c
2021-12-03 00:00:00,-54.4296184869666,
2021-12-03 01:00:00,-57.403702825530104,
2021-12-03 02:30:00,-57.97511935920659,
2021-12-03 03:00:00,-57.1947573631648,
2021-12-03 18:30:00,-57.1947573631648,
2021-12-03 20:00:00,-57.1947573631648,
2021-12-03 23:00:00,-57.1947573631648,
2021-12-03 23:59:59,-57.8989846963795,w
2021-12-06 00:00:00,-65.79251709302537,
2021-12-06 01:00:00,-66.28553169537082,
2021-12-06 02:30:00,-65.12133374342676,
2021-12-06 03:00:00,-65.21914549006237,
2021-12-06 18:30:00,-67.56568414256895,
2021-12-06 20:00:00,-57.57981644283052,
2021-12-06 23:00:00,-49.46884495704961,
2021-12-06 23:59:59,-46.70481423012865,c
2021-12-07 00:00:00,-45.34720401095461,
2021-12-07 01:00:00,-46.16093164787861,
2021-12-07 02:30:00,-48.110535890812,
2021-12-07 03:00:00,-47.675413706009124,
2021-12-07 18:30:00,-45.935842369059515,
2021-12-07 20:00:00,-59.18507655543391,
2021-12-07 23:00:00,-71.55203502880016,
2021-12-07 23:59:59,-68.6208768157457,c
2021-12-08 00:00:00,-63.667931874745705,
2021-12-08 01:00:00,-65.57141306552239,
2021-12-08 02:30:00,-66.44703495839764,
2021-12-08 03:00:00,-65.34989577500903,
2021-12-08 18:30:00,-65.67127089908723,
2021-12-08 20:00:00,-54.040039089054744,
2021-12-08 23:00:00,-59.68803980688659,
2021-12-08 23:59:59,-64.39564878273967,c
2021-12-09 00:00:00,-64.43171320075771,
2021-12-09 01:00:00,-65.20290054893388,
2021-12-09 02:30:00,-65.2021317455534,
2021-12-09 03:00:00,-64.40456287536756,
2021-12-09 18:30:00,-65.20574426981949,
2021-12-09 20:00:00,-65.32621466063586,
2021-12-09 23:00:00,-70.50720542650066,
2021-12-09 23:59:59,-71.11676355924845,c
2021-12-10 00:00:00,-76.00677315762175,
2021-12-10 01:00:00,-79.09468928530703,
2021-12-10 02:30:00,-80.13951779171961,
2021-12-10 03:00:00,-79.28262448659396,
2021-12-10 18:30:00,-79.28262448659396,
2021-12-10 20:00:00,-79.28262448659396,
2021-12-10 23:00:00,-79.28262448659396,
2021-12-10 23:59:59,-78.08873693887028,w
2021-12-13 00:00:00,-71.13957490786231,
2021-12-13 01:00:00,-74.87651232905779,
2021-12-13 02:30:00,-75.38665116400364,
2021-12-13 03:00:00,-75.37109172047286,
2021-12-13 18:30:00,-63.18710599587564,
