date,MSCI_FACT_MTUM_HEDGED_2021_Q4,meta
2021-11-12 00:00:00,-68.04010898861162,
2021-11-12 10:00:00,-59.74385849670964,
2021-11-12 10:30:00,-59.43884984873712,
2021-11-12 12:00:00,-51.63653291810216,
2021-11-12 13:30:00,-45.106232668347346,
2021-11-12 15:00:00,-49.524528953295075,
2021-11-12 15:30:30,-49.524528953295075,
2021-11-12 23:59:59,-52.472979133904694,w
2021-11-15 00:00:00,-45.392082776664246,
2021-11-15 10:00:00,-56.72378493828038,
2021-11-15 10:30:00,-54.03300830897456,
2021-11-15 12:00:00,-47.285365113185485,
2021-11-15 13:30:00,-44.880719643561385,
2021-11-15 15:00:00,-44.19651915802257,
2021-11-15 15:30:30,-44.19651915802257,
2021-11-15 23:59:59,-39.33460831409628,c
2021-11-16 00:00:00,-48.57759761356294,
2021-11-16 10:00:00,-40.74110692298556,
2021-11-16 10:30:00,-32.215638805957404,
2021-11-16 12:00:00,-20.246244142391134,
2021-11-16 13:30:00,-23.837750912790582,
2021-11-16 15:00:00,-20.641183522081704,
2021-11-16 15:30:30,-20.641183522081704,
2021-11-16 23:59:59,-23.099430184616793,c
2021-11-17 00:00:00,-24.079139143530895,
2021-11-17 10:00:00,-19.84914924706321,
2021-11-17 10:30:00,-21.203255141532793,
2021-11-17 12:00:00,-16.764776668497177,
2021-11-17 13:30:00,-19.233108287946138,
2021-11-17 15:00:00,-23.21016101042001,
2021-11-17 15:30:30,-23.21016101042001,
2021-11-17 23:59:59,-21.223122114642322,c
2021-11-18 00:00:00,-1.699618520295985,
2021-11-18 10:00:00,14.683375142552691,
2021-11-18 10:30:00,13.440904539763821,
2021-11-18 12:00:00,14.805848104054988,
2021-11-18 13:30:00,8.777576267518953,
2021-11-18 15:00:00,1.7745294067847652,
2021-11-18 15:30:30,1.7745294067847652,
2021-11-18 23:59:59,0.0,a
2021-11-19 00:00:00,63.298923095604536,
2021-11-19 10:00:00,81.92662195505186,
2021-11-19 10:30:00,71.8833269940295,
2021-11-19 12:00:00,57.423786245398546,
2021-11-19 13:30:00,57.29524499072407,
2021-11-19 15:00:00,60.19140977423781,
2021-11-19 15:30:30,60.19140977423781,
2021-11-19 23:59:59,61.57481293595585,w
2021-11-22 00:00:00,59.43511066452943,
2021-11-22 10:00:00,72.32246236052178,
2021-11-22 10:30:00,84.54260660313243,
2021-11-22 12:00:00,43.434095533105804,
2021-11-22 13:30:00,38.259976145269476,
2021-11-22 15:00:00,30.164826624969493,
2021-11-22 15:30:30,30.164826624969493,u
2021-11-22 23:59:59,21.049727584959655,c
2021-11-23 00:00:00,2.6599648385994357,
2021-11-23 10:00:00,20.46789223619632,
2021-11-23 10:30:00,1.2389584272279706,
