date,AS_TW50_2022_Q3,meta
2022-09-28 03:00:00,384.0267621836277,
2022-09-28 18:30:00,384.0267621836277,
2022-09-28 20:00:00,384.0267621836277,
2022-09-28 23:00:00,513.5258721731238,
2022-09-28 23:59:59,499.8783815761674,c
2022-09-29 00:00:00,497.9696405474792,
2022-09-29 01:00:00,520.097430192157,
2022-09-29 02:30:00,520.097430192157,
2022-09-29 03:00:00,520.097430192157,
2022-09-29 18:30:00,520.097430192157,
2022-09-29 20:00:00,520.097430192157,
2022-09-29 23:00:00,472.20113310546935,
2022-09-29 23:59:59,471.9219345265989,c
2022-09-30 00:00:00,498.9859849652661,
2022-09-30 01:00:00,446.8280920716445,
2022-09-30 02:30:00,446.8280920716445,
2022-09-30 03:00:00,446.8280920716445,
2022-09-30 18:30:00,446.8280920716445,
2022-09-30 20:00:00,446.8280920716445,
2022-09-30 23:00:00,446.8280920716445,
2022-09-30 23:59:59,447.6899193075548,w
