date,SPX_EW_2022_Q2,meta
2022-06-14 15:00:00,-116.3871173483941,
2022-06-14 15:30:30,-116.3871173483941,
2022-06-14 23:59:59,-108.4578398317959,c
2022-06-15 00:00:00,-74.36165532526456,
2022-06-15 10:00:00,-53.153031131359285,
2022-06-15 10:30:00,-35.12753417113237,
2022-06-15 12:00:00,-6.814244188631733,
2022-06-15 13:30:00,-8.227139185708268,
2022-06-15 15:00:00,22.981438267802588,
2022-06-15 15:30:30,22.981438267802588,
2022-06-15 23:59:59,20.14754365085753,c
2022-06-16 00:00:00,-22.696308669860827,
2022-06-16 10:00:00,-39.322237358586364,
2022-06-16 10:30:00,-45.613456422532124,
2022-06-16 12:00:00,-41.03918353672731,
2022-06-16 13:30:00,-33.723243823704394,
2022-06-16 15:00:00,-26.962097160136977,
2022-06-16 15:30:30,-26.962097160136977,
2022-06-16 23:59:59,-27.178932059019132,c
2022-06-17 00:00:00,6.751728334773674,
2022-06-17 10:00:00,62.54216236611643,
2022-06-17 10:30:00,53.11918564802295,
2022-06-17 12:00:00,106.44862992200109,
2022-06-17 13:30:00,139.88923827384235,
2022-06-17 15:00:00,119.00726052118011,
2022-06-17 15:30:30,119.00726052118011,
2022-06-17 23:59:59,101.55785563455873,e
2022-06-20 00:00:00,101.55785563455873,
2022-06-20 10:00:00,101.55785563455873,
2022-06-20 10:30:00,101.55785563455873,
2022-06-20 12:00:00,101.55785563455873,
2022-06-20 13:30:00,101.55785563455873,
2022-06-20 15:00:00,101.55785563455873,
2022-06-20 15:30:30,101.55785563455873,
2022-06-20 23:59:59,101.55785563455873,c
2022-06-21 00:00:00,111.43735871694236,
2022-06-21 10:00:00,113.72714270474177,
2022-06-21 10:30:00,88.2752640417666,
2022-06-21 12:00:00,58.229429949217774,
2022-06-21 13:30:00,41.63097685808043,
2022-06-21 15:00:00,24.122498702686784,
2022-06-21 15:30:30,24.122498702686784,
2022-06-21 23:59:59,12.331892565475073,c
2022-06-22 00:00:00,46.938039757655076,
2022-06-22 10:00:00,77.56192935263994,
2022-06-22 10:30:00,83.49720917309213,
2022-06-22 12:00:00,79.30927262313486,
2022-06-22 13:30:00,86.38881713164415,
2022-06-22 15:00:00,95.41791392140362,
2022-06-22 15:30:30,95.41791392140362,
2022-06-22 23:59:59,81.52177790224488,c
2022-06-23 00:00:00,78.63255112320007,
2022-06-23 10:00:00,67.05725596542698,
2022-06-23 10:30:00,68.83053039441904,
2022-06-23 12:00:00,134.05733845851483,
2022-06-23 13:30:00,110.4045287128165,
2022-06-23 15:00:00,143.1623474399924,
2022-06-23 15:30:30,143.1623474399924,
2022-06-23 23:59:59,159.82098014778921,c
2022-06-24 00:00:00,163.99418298086965,
2022-06-24 10:00:00,254.44572150704107,
