date,EU_FTSE_EU_DM_AW_ADDSDELS_2021_Q4,meta
2021-11-19 23:59:59,0.0,a
2021-11-22 00:00:00,-19.944026364885417,
2021-11-22 03:30:00,-3.3470375870519433,
2021-11-22 04:00:00,4.602831682383794,
2021-11-22 06:00:00,-20.30469387114414,
2021-11-22 08:00:00,-42.813021330630335,
2021-11-22 10:30:00,-97.5303006642534,
2021-11-22 11:00:00,-96.8053342045438,
2021-11-22 23:59:59,-107.04214241080666,c
2021-11-23 00:00:00,-120.15947348512475,
2021-11-23 03:30:00,-173.04424839813473,
2021-11-23 04:00:00,-156.20736726625637,
2021-11-23 06:00:00,-191.18794345304934,
2021-11-23 08:00:00,-213.53989427939922,
2021-11-23 10:30:00,-181.33840405608208,
2021-11-23 11:00:00,-189.04522087780194,
2021-11-23 23:59:59,-173.29197771970877,c
2021-11-24 00:00:00,-142.21752035151232,
2021-11-24 03:30:00,-180.27590188704622,
2021-11-24 04:00:00,-200.82627459742463,
2021-11-24 06:00:00,-220.10546976907443,
2021-11-24 08:00:00,-202.64232115664186,
2021-11-24 10:30:00,-161.1768563325616,
2021-11-24 11:00:00,-150.83215379364893,
2021-11-24 23:59:59,-131.1243014382734,c
2021-11-25 00:00:00,-120.56895008494034,
2021-11-25 03:30:00,-50.22937642244166,
2021-11-25 04:00:00,-48.15959717777072,
2021-11-25 06:00:00,-80.42128248661669,
2021-11-25 08:00:00,-80.38295775474325,
2021-11-25 10:30:00,-38.57433750367265,
2021-11-25 11:00:00,-39.113639364634096,
2021-11-25 23:59:59,-54.768068763046486,c
2021-11-26 00:00:00,63.99477156193893,
2021-11-26 03:30:00,67.80737315143278,
2021-11-26 04:00:00,55.55105911494982,
2021-11-26 06:00:00,83.98546543855718,
2021-11-26 08:00:00,68.70134256274116,
2021-11-26 10:30:00,85.26474512783633,
2021-11-26 11:00:00,87.95894985229103,
2021-11-26 23:59:59,55.2251020188059,w
2021-11-29 00:00:00,33.31695978983575,
2021-11-29 03:30:00,103.6423941225701,
2021-11-29 04:00:00,87.9655820739795,
2021-11-29 06:00:00,101.51530949096593,
2021-11-29 08:00:00,93.77546618518002,
2021-11-29 10:30:00,85.76952906672656,
2021-11-29 11:00:00,80.81820905434304,
2021-11-29 23:59:59,76.61013490787931,c
2021-11-30 00:00:00,197.03150548072935,
2021-11-30 03:30:00,257.11758678583055,
2021-11-30 04:00:00,267.00625718035576,
2021-11-30 06:00:00,349.9107185634298,
2021-11-30 08:00:00,310.99305320092196,
2021-11-30 10:30:00,273.9477723152411,
2021-11-30 11:00:00,247.5432422434636,
2021-11-30 23:59:59,223.6912554816461,c
2021-12-01 00:00:00,196.30914537062924,
2021-12-01 03:30:00,92.82665033698638,
2021-12-01 04:00:00,50.32296460088321,
2021-12-01 06:00:00,2.6382600932702474,
