date,AS_FTSE_AS_DM_MIGRATION_2021_Q4,meta
2021-10-29 03:00:00,39.59402110097926,
2021-10-29 18:30:00,39.59402110097926,
2021-10-29 20:00:00,39.59402110097926,
2021-10-29 23:00:00,39.59402110097926,
2021-10-29 23:59:59,22.677378946724275,w
2021-11-01 00:00:00,-8.014256304998526,
2021-11-01 01:00:00,14.677036638316167,
2021-11-01 02:30:00,14.677036638316167,
2021-11-01 03:00:00,14.677036638316167,
2021-11-01 18:30:00,14.677036638316167,
2021-11-01 20:00:00,14.677036638316167,
2021-11-01 23:00:00,174.87814378825624,
2021-11-01 23:59:59,179.72568365619372,c
2021-11-02 00:00:00,174.27913583595546,
2021-11-02 01:00:00,201.29969899299977,
2021-11-02 02:30:00,201.29969899299977,
2021-11-02 03:00:00,201.29969899299977,
2021-11-02 18:30:00,201.29969899299977,
