date,SML_PURE_2021_Q4,meta
2021-12-17 00:00:00,241.6104600250767,
2021-12-17 10:00:00,260.24467132817404,
2021-12-17 10:30:00,259.1292268607949,
2021-12-17 12:00:00,264.62108853501604,
2021-12-17 13:30:00,254.2150263111805,
2021-12-17 15:00:00,254.89138592387553,
2021-12-17 15:30:30,254.89138592387553,
2021-12-17 23:59:59,237.64763075072733,e
2021-12-20 00:00:00,256.24986598506985,
2021-12-20 10:00:00,229.83991742412172,
2021-12-20 10:30:00,239.19401452749594,
2021-12-20 12:00:00,210.6877608757186,
2021-12-20 13:30:00,217.7376431716084,
2021-12-20 15:00:00,219.14956883261743,
2021-12-20 15:30:30,219.14956883261743,
2021-12-20 23:59:59,192.5859915532924,c
2021-12-21 00:00:00,168.04202829411588,
2021-12-21 10:00:00,180.96037942476391,
2021-12-21 10:30:00,182.01278185322417,
2021-12-21 12:00:00,161.40946426192295,
2021-12-21 13:30:00,138.92651032737717,
2021-12-21 15:00:00,120.61486393042173,
2021-12-21 15:30:30,120.61486393042173,
2021-12-21 23:59:59,113.23151222673505,c
2021-12-22 00:00:00,124.05040575224734,
2021-12-22 10:00:00,120.62173771177117,
2021-12-22 10:30:00,124.36908700717095,
2021-12-22 12:00:00,97.66257825888874,
2021-12-22 13:30:00,83.1113187344697,
2021-12-22 15:00:00,86.13011262418422,
2021-12-22 15:30:30,86.13011262418422,
2021-12-22 23:59:59,96.02271995242177,c
2021-12-23 00:00:00,86.91019700037259,
2021-12-23 10:00:00,72.38566164840176,
2021-12-23 10:30:00,95.9801556108307,
2021-12-23 12:00:00,99.7843391094641,
2021-12-23 13:30:00,108.70196930378256,
2021-12-23 15:00:00,93.93788929625043,
2021-12-23 15:30:30,93.93788929625043,
2021-12-23 23:59:59,103.89215205671803,c
2021-12-24 00:00:00,103.89215205671803,
2021-12-24 10:00:00,103.89215205671803,
2021-12-24 10:30:00,103.89215205671803,
2021-12-24 12:00:00,103.89215205671803,
2021-12-24 13:30:00,103.89215205671803,
2021-12-24 15:00:00,103.89215205671803,
2021-12-24 15:30:30,103.89215205671803,
2021-12-24 23:59:59,103.89215205671803,w
2021-12-27 00:00:00,101.08563848411973,
2021-12-27 10:00:00,83.45472151011631,
2021-12-27 10:30:00,74.86293485699025,
2021-12-27 12:00:00,50.29338852919659,
2021-12-27 13:30:00,40.447155826177095,
2021-12-27 15:00:00,30.843778677231512,
2021-12-27 15:30:30,30.843778677231512,
2021-12-27 23:59:59,24.551987353750746,c
2021-12-28 00:00:00,23.413543626933233,
2021-12-28 10:00:00,22.8162430396917,
2021-12-28 10:30:00,50.99429623264791,
2021-12-28 12:00:00,65.36384756966459,
2021-12-28 13:30:00,61.88961557652783,
2021-12-28 15:00:00,62.948342364660675,
2021-12-28 15:30:30,62.948342364660675,
2021-12-28 23:59:59,74.49670549810344,c
2021-12-29 00:00:00,79.62417431814833,
2021-12-29 10:00:00,61.084967344160304,
2021-12-29 10:30:00,46.96468518447,
2021-12-29 12:00:00,33.31689521104977,
2021-12-29 13:30:00,18.81370361723657,
2021-12-29 15:00:00,16.946406674576338,
2021-12-29 15:30:30,16.946406674576338,
2021-12-29 23:59:59,15.172220695120814,c
2021-12-30 00:00:00,12.224073593518824,
2021-12-30 10:00:00,19.9408286725195,
2021-12-30 10:30:00,30.58481845815686,
2021-12-30 12:00:00,49.930882672329744,
2021-12-30 13:30:00,36.77480103327275,
2021-12-30 15:00:00,33.32312365839425,
2021-12-30 15:30:30,33.32312365839425,
2021-12-30 23:59:59,43.19401818727874,c
2021-12-31 00:00:00,53.80064562514758,
2021-12-31 10:00:00,47.61375513321332,
2021-12-31 10:30:00,36.18011593227425,
2021-12-31 12:00:00,29.258320540195427,
2021-12-31 13:30:00,8.276847858613337,
2021-12-31 15:00:00,28.44355986461551,
2021-12-31 15:30:30,28.44355986461551,
2021-12-31 23:59:59,18.401799608776628,w
2022-01-03 00:00:00,6.746511727015786,
2022-01-03 10:00:00,-9.881827139530287,
2022-01-03 10:30:00,-3.506394949145033,
2022-01-03 12:00:00,68.02372740309806,
2022-01-03 13:30:00,90.73821644938971,
2022-01-03 15:00:00,89.13557184389674,
2022-01-03 15:30:30,89.13557184389674,
2022-01-03 23:59:59,75.02478737954084,c
2022-01-04 00:00:00,81.85759233055046,
2022-01-04 10:00:00,45.30358783440715,
2022-01-04 10:30:00,29.775135291324204,
2022-01-04 12:00:00,48.46610099138434,
2022-01-04 13:30:00,41.2522331758903,
2022-01-04 15:00:00,59.57234998600097,
2022-01-04 15:30:30,59.57234998600097,
2022-01-04 23:59:59,52.01276006432454,c
2022-01-05 00:00:00,39.2753505937751,
2022-01-05 10:00:00,97.29141792707378,
2022-01-05 10:30:00,109.84809368595324,
2022-01-05 12:00:00,127.49729600711589,
2022-01-05 13:30:00,134.57999780661567,
2022-01-05 15:00:00,145.36179175359075,
2022-01-05 15:30:30,145.36179175359075,
2022-01-05 23:59:59,185.8227878877251,c
2022-01-06 00:00:00,171.9584480614833,
2022-01-06 10:00:00,192.96547563837316,
2022-01-06 10:30:00,174.47466965234867,
2022-01-06 12:00:00,137.12277252149147,
2022-01-06 13:30:00,139.09567990763003,
2022-01-06 15:00:00,129.53783437710376,
2022-01-06 15:30:30,129.53783437710376,
2022-01-06 23:59:59,134.95405195892386,c
2022-01-07 00:00:00,152.6657466228769,
2022-01-07 10:00:00,158.75347438912695,
2022-01-07 10:30:00,179.76736037326486,
2022-01-07 12:00:00,218.32310163773968,
2022-01-07 13:30:00,233.4732328383941,
2022-01-07 15:00:00,229.63971895347322,
2022-01-07 15:30:30,229.63971895347322,
2022-01-07 23:59:59,244.6708833915102,w
