date,EU_FTFAM_2021_Q4,meta
2021-12-28 03:30:00,-63.48278580695364,
2021-12-28 04:00:00,-78.45753495662393,
2021-12-28 06:00:00,-96.6230245949489,
2021-12-28 08:00:00,-95.16210465477525,
2021-12-28 10:30:00,-119.05670922012769,
2021-12-28 11:00:00,-118.8445326840988,
2021-12-28 23:59:59,-136.62386311205864,c
2021-12-29 00:00:00,-132.23872257606013,
2021-12-29 03:30:00,-138.09652688446158,
2021-12-29 04:00:00,-117.23637992175532,
2021-12-29 06:00:00,-144.69366251166593,
2021-12-29 08:00:00,-126.35886466707984,
2021-12-29 10:30:00,-128.1474057684361,
2021-12-29 11:00:00,-133.56654189071605,
2021-12-29 23:59:59,-151.82438637639234,c
2021-12-30 00:00:00,-166.53105872995116,
2021-12-30 03:30:00,-167.53968096572453,
2021-12-30 04:00:00,-161.7700682432976,
2021-12-30 06:00:00,-153.26708397991797,
2021-12-30 08:00:00,-125.07665589468888,
2021-12-30 10:30:00,-110.81406136576902,
2021-12-30 11:00:00,-112.79134856988685,
2021-12-30 23:59:59,-106.80295136902646,c
2021-12-31 00:00:00,-102.0721276642355,
2021-12-31 03:30:00,-97.16145235691556,
2021-12-31 04:00:00,-101.68850592107697,
2021-12-31 06:00:00,-106.45406624477891,
2021-12-31 08:00:00,-106.45406624477891,
2021-12-31 10:30:00,-106.45406624477891,
2021-12-31 11:00:00,-106.45406624477891,
2021-12-31 23:59:59,-64.8250902519028,w
