date,DVY_HEDGED_2022_Q1,meta
2022-03-04 15:00:00,90.61168099415355,
2022-03-04 15:30:30,90.61168099415355,
2022-03-04 23:59:59,88.62579887870643,w
2022-03-07 00:00:00,78.1631952551077,
2022-03-07 10:00:00,35.87687193120331,
2022-03-07 10:30:00,34.11777707873901,
2022-03-07 12:00:00,37.27336827480636,
2022-03-07 13:30:00,44.27994158012075,
2022-03-07 15:00:00,34.13363479610325,
2022-03-07 15:30:30,34.13363479610325,
2022-03-07 23:59:59,20.818341282653336,c
2022-03-08 00:00:00,51.63321912964594,
2022-03-08 10:00:00,-16.159147934708244,
2022-03-08 10:30:00,-9.338210056541243,
2022-03-08 12:00:00,-52.18181149545393,
2022-03-08 13:30:00,29.21186014861044,
2022-03-08 15:00:00,10.044025894322175,
2022-03-08 15:30:30,10.044025894322175,
2022-03-08 23:59:59,12.785050990924987,c
2022-03-09 00:00:00,53.85153549432667,
2022-03-09 10:00:00,80.48197302349936,
2022-03-09 10:30:00,99.68971940771573,
2022-03-09 12:00:00,70.73052426080116,
2022-03-09 13:30:00,67.0096236662038,
2022-03-09 15:00:00,51.16391273880808,
2022-03-09 15:30:30,51.16391273880808,
2022-03-09 23:59:59,39.92991555203352,c
2022-03-10 00:00:00,25.236478589152654,
2022-03-10 10:00:00,-25.750645701926288,
2022-03-10 10:30:00,-11.139942798938733,
2022-03-10 12:00:00,-14.300968998479192,
2022-03-10 13:30:00,-27.121566071061096,
2022-03-10 15:00:00,-27.577880610161174,
2022-03-10 15:30:30,-27.577880610161174,
2022-03-10 23:59:59,-14.58698996669736,c
2022-03-11 00:00:00,25.695945985509496,
2022-03-11 10:00:00,3.684426060512095,
2022-03-11 10:30:00,16.803126136466574,
2022-03-11 12:00:00,16.6267820742263,
2022-03-11 13:30:00,-3.4961269150871033,
2022-03-11 15:00:00,-1.934120774325038,
2022-03-11 15:30:30,-1.934120774325038,
2022-03-11 23:59:59,0.0,a
2022-03-14 00:00:00,34.83671045722326,
2022-03-14 10:00:00,93.56638719478659,
2022-03-14 10:30:00,83.73580976816564,
2022-03-14 12:00:00,95.60203048128622,
2022-03-14 13:30:00,83.03585568381018,
2022-03-14 15:00:00,78.19001101667405,
2022-03-14 15:30:30,78.19001101667405,
2022-03-14 23:59:59,63.17665689149473,c
2022-03-15 00:00:00,66.18626157669817,
2022-03-15 10:00:00,102.59693766790664,
2022-03-15 10:30:00,83.8603181218987,
2022-03-15 12:00:00,53.89718667674103,
2022-03-15 13:30:00,58.52186763286417,
2022-03-15 15:00:00,57.289848118314325,
2022-03-15 15:30:30,57.289848118314325,
2022-03-15 23:59:59,48.65153099005698,c
2022-03-16 00:00:00,50.897145589257065,
2022-03-16 10:00:00,60.374477928891764,
2022-03-16 10:30:00,99.06587615393997,
2022-03-16 12:00:00,114.21767394873487,
2022-03-16 13:30:00,118.1570532265716,
2022-03-16 15:00:00,104.83275001866636,
2022-03-16 15:30:30,104.83275001866636,
2022-03-16 23:59:59,106.72847014247762,c
2022-03-17 00:00:00,87.98667627985614,
2022-03-17 10:00:00,106.80670313803418,
2022-03-17 10:30:00,104.86329722107942,
2022-03-17 12:00:00,106.47435617909488,
2022-03-17 13:30:00,113.66145884514995,
2022-03-17 15:00:00,111.68909410918033,
2022-03-17 15:30:30,111.68909410918033,
2022-03-17 23:59:59,109.81724994247261,c
2022-03-18 00:00:00,96.69778247027975,
2022-03-18 10:00:00,92.81428424232078,
2022-03-18 10:30:00,75.34175168466444,
2022-03-18 12:00:00,71.4461927343726,
2022-03-18 13:30:00,82.60669002527018,
2022-03-18 15:00:00,95.45465420883423,
2022-03-18 15:30:30,95.45465420883423,
2022-03-18 23:59:59,74.90589575385243,e
2022-03-21 00:00:00,63.799423772693586,
2022-03-21 10:00:00,74.14063259589093,
2022-03-21 10:30:00,79.16971683529906,
2022-03-21 12:00:00,68.69998288610114,
2022-03-21 13:30:00,44.09024110489753,
2022-03-21 15:00:00,49.532390111100995,
2022-03-21 15:30:30,49.532390111100995,
2022-03-21 23:59:59,49.77855148090819,c
2022-03-22 00:00:00,47.53594929639459,
2022-03-22 10:00:00,52.85770376906456,
2022-03-22 10:30:00,59.412219017201295,
2022-03-22 12:00:00,70.07287869872849,
2022-03-22 13:30:00,79.48297657893286,
